POI: 			Maya_Rudolph 
Youtube ID: 	oWvwZOsSQnQ 
Video length: 	386.6 sec 
Set (V): 		dev 
 
Maya_Rudolph/oWvwZOsSQnQ_0000001 02.5 07.0 
Maya_Rudolph/oWvwZOsSQnQ_0000002 08.0 18.1 
Maya_Rudolph/oWvwZOsSQnQ_0000003 24.2 44.4 
Maya_Rudolph/oWvwZOsSQnQ_0000004 48.9 53.6 
Maya_Rudolph/oWvwZOsSQnQ_0000005 64.0 69.7 
Maya_Rudolph/oWvwZOsSQnQ_0000006 72.4 77.6 
Maya_Rudolph/oWvwZOsSQnQ_0000007 79.8 91.2 
Maya_Rudolph/oWvwZOsSQnQ_0000008 100.4 108.0 
Maya_Rudolph/oWvwZOsSQnQ_0000009 110.0 123.6 
Maya_Rudolph/oWvwZOsSQnQ_0000010 192.8 198.9 
Maya_Rudolph/oWvwZOsSQnQ_0000011 202.2 211.6 
Maya_Rudolph/oWvwZOsSQnQ_0000012 211.8 223.4 
Maya_Rudolph/oWvwZOsSQnQ_0000013 229.1 240.8 
Maya_Rudolph/oWvwZOsSQnQ_0000014 247.1 253.0 
Maya_Rudolph/oWvwZOsSQnQ_0000015 310.5 319.2 
Maya_Rudolph/oWvwZOsSQnQ_0000016 320.2 325.1 
Maya_Rudolph/oWvwZOsSQnQ_0000017 342.4 358.8 
Maya_Rudolph/oWvwZOsSQnQ_0000018 365.4 374.7 
Maya_Rudolph/oWvwZOsSQnQ_0000019 376.8 383.8 
