POI: 			Stacy_Keach 
Youtube ID: 	4eStFmZMSkg 
Video length: 	1608.1 sec 
Set (V): 		dev 
 
Stacy_Keach/4eStFmZMSkg_0000001 82.4 90.4 
Stacy_Keach/4eStFmZMSkg_0000002 97.5 107.2 
Stacy_Keach/4eStFmZMSkg_0000003 110.9 115.4 
Stacy_Keach/4eStFmZMSkg_0000004 120.8 131.3 
Stacy_Keach/4eStFmZMSkg_0000005 146.2 151.3 
Stacy_Keach/4eStFmZMSkg_0000006 155.3 172.2 
Stacy_Keach/4eStFmZMSkg_0000007 172.3 182.8 
Stacy_Keach/4eStFmZMSkg_0000008 188.2 192.8 
Stacy_Keach/4eStFmZMSkg_0000009 200.6 213.2 
Stacy_Keach/4eStFmZMSkg_0000010 215.4 221.4 
Stacy_Keach/4eStFmZMSkg_0000011 225.4 234.8 
Stacy_Keach/4eStFmZMSkg_0000012 239.8 247.1 
Stacy_Keach/4eStFmZMSkg_0000013 259.5 275.4 
Stacy_Keach/4eStFmZMSkg_0000014 304.0 310.6 
Stacy_Keach/4eStFmZMSkg_0000015 315.3 327.4 
Stacy_Keach/4eStFmZMSkg_0000016 332.0 338.2 
Stacy_Keach/4eStFmZMSkg_0000017 339.0 347.2 
Stacy_Keach/4eStFmZMSkg_0000018 351.5 358.4 
Stacy_Keach/4eStFmZMSkg_0000019 366.6 384.0 
Stacy_Keach/4eStFmZMSkg_0000020 393.7 406.0 
Stacy_Keach/4eStFmZMSkg_0000021 413.7 417.7 
Stacy_Keach/4eStFmZMSkg_0000022 421.3 431.2 
Stacy_Keach/4eStFmZMSkg_0000023 431.7 436.3 
Stacy_Keach/4eStFmZMSkg_0000024 437.3 449.8 
Stacy_Keach/4eStFmZMSkg_0000025 456.0 464.5 
Stacy_Keach/4eStFmZMSkg_0000026 480.4 488.9 
Stacy_Keach/4eStFmZMSkg_0000027 489.8 500.4 
Stacy_Keach/4eStFmZMSkg_0000028 505.4 513.1 
Stacy_Keach/4eStFmZMSkg_0000029 519.1 529.7 
Stacy_Keach/4eStFmZMSkg_0000030 540.8 544.9 
Stacy_Keach/4eStFmZMSkg_0000031 546.9 557.3 
Stacy_Keach/4eStFmZMSkg_0000032 581.9 588.8 
Stacy_Keach/4eStFmZMSkg_0000033 598.8 603.2 
Stacy_Keach/4eStFmZMSkg_0000034 606.8 613.5 
Stacy_Keach/4eStFmZMSkg_0000035 615.6 622.8 
Stacy_Keach/4eStFmZMSkg_0000036 624.1 629.6 
Stacy_Keach/4eStFmZMSkg_0000037 641.1 648.9 
Stacy_Keach/4eStFmZMSkg_0000038 651.2 657.6 
Stacy_Keach/4eStFmZMSkg_0000039 662.1 668.0 
Stacy_Keach/4eStFmZMSkg_0000040 674.5 694.2 
Stacy_Keach/4eStFmZMSkg_0000041 698.7 703.6 
Stacy_Keach/4eStFmZMSkg_0000042 704.1 711.8 
Stacy_Keach/4eStFmZMSkg_0000043 717.3 724.9 
Stacy_Keach/4eStFmZMSkg_0000044 768.0 792.1 
Stacy_Keach/4eStFmZMSkg_0000045 792.6 797.0 
Stacy_Keach/4eStFmZMSkg_0000046 802.6 810.2 
Stacy_Keach/4eStFmZMSkg_0000047 822.6 842.2 
Stacy_Keach/4eStFmZMSkg_0000048 846.2 851.5 
Stacy_Keach/4eStFmZMSkg_0000049 857.2 864.4 
Stacy_Keach/4eStFmZMSkg_0000050 864.5 869.7 
Stacy_Keach/4eStFmZMSkg_0000051 875.4 880.9 
Stacy_Keach/4eStFmZMSkg_0000052 881.0 893.2 
Stacy_Keach/4eStFmZMSkg_0000053 897.8 903.0 
Stacy_Keach/4eStFmZMSkg_0000054 905.4 911.3 
Stacy_Keach/4eStFmZMSkg_0000055 931.4 940.9 
Stacy_Keach/4eStFmZMSkg_0000056 942.0 947.6 
Stacy_Keach/4eStFmZMSkg_0000057 955.8 970.8 
Stacy_Keach/4eStFmZMSkg_0000058 996.3 1001.5 
Stacy_Keach/4eStFmZMSkg_0000059 1007.6 1020.9 
Stacy_Keach/4eStFmZMSkg_0000060 1028.3 1032.3 
Stacy_Keach/4eStFmZMSkg_0000061 1033.6 1047.2 
Stacy_Keach/4eStFmZMSkg_0000062 1051.7 1067.4 
Stacy_Keach/4eStFmZMSkg_0000063 1080.2 1084.6 
Stacy_Keach/4eStFmZMSkg_0000064 1093.2 1103.7 
Stacy_Keach/4eStFmZMSkg_0000065 1134.3 1139.6 
Stacy_Keach/4eStFmZMSkg_0000066 1141.9 1148.7 
Stacy_Keach/4eStFmZMSkg_0000067 1151.7 1155.9 
Stacy_Keach/4eStFmZMSkg_0000068 1159.5 1178.4 
Stacy_Keach/4eStFmZMSkg_0000069 1229.4 1235.3 
Stacy_Keach/4eStFmZMSkg_0000070 1244.9 1255.2 
Stacy_Keach/4eStFmZMSkg_0000071 1309.4 1321.5 
Stacy_Keach/4eStFmZMSkg_0000072 1324.6 1329.4 
Stacy_Keach/4eStFmZMSkg_0000073 1330.2 1336.6 
Stacy_Keach/4eStFmZMSkg_0000074 1337.0 1343.2 
Stacy_Keach/4eStFmZMSkg_0000075 1355.1 1360.7 
Stacy_Keach/4eStFmZMSkg_0000076 1365.8 1375.2 
Stacy_Keach/4eStFmZMSkg_0000077 1380.6 1387.0 
Stacy_Keach/4eStFmZMSkg_0000078 1387.7 1395.2 
Stacy_Keach/4eStFmZMSkg_0000079 1398.8 1406.4 
Stacy_Keach/4eStFmZMSkg_0000080 1407.1 1416.5 
Stacy_Keach/4eStFmZMSkg_0000081 1450.4 1456.6 
Stacy_Keach/4eStFmZMSkg_0000082 1460.6 1468.8 
Stacy_Keach/4eStFmZMSkg_0000083 1496.8 1512.6 
Stacy_Keach/4eStFmZMSkg_0000084 1513.9 1522.6 
Stacy_Keach/4eStFmZMSkg_0000085 1537.3 1546.6 
