POI: 			Joe_Flanigan 
Youtube ID: 	FX38M4qIjYc 
Video length: 	538.8 sec 
Set (V): 		dev 
 
Joe_Flanigan/FX38M4qIjYc_0000001 09.9 14.3 
Joe_Flanigan/FX38M4qIjYc_0000002 38.8 43.7 
Joe_Flanigan/FX38M4qIjYc_0000003 48.4 54.8 
Joe_Flanigan/FX38M4qIjYc_0000004 94.4 100.8 
Joe_Flanigan/FX38M4qIjYc_0000005 103.9 120.4 
Joe_Flanigan/FX38M4qIjYc_0000006 141.8 147.9 
Joe_Flanigan/FX38M4qIjYc_0000007 188.3 196.2 
Joe_Flanigan/FX38M4qIjYc_0000008 213.5 219.5 
Joe_Flanigan/FX38M4qIjYc_0000009 229.9 234.8 
Joe_Flanigan/FX38M4qIjYc_0000010 240.0 243.9 
Joe_Flanigan/FX38M4qIjYc_0000011 262.2 266.5 
Joe_Flanigan/FX38M4qIjYc_0000012 274.7 279.7 
Joe_Flanigan/FX38M4qIjYc_0000013 281.7 286.2 
Joe_Flanigan/FX38M4qIjYc_0000014 294.2 299.0 
Joe_Flanigan/FX38M4qIjYc_0000015 305.0 309.4 
Joe_Flanigan/FX38M4qIjYc_0000016 363.7 371.4 
Joe_Flanigan/FX38M4qIjYc_0000017 374.9 380.1 
Joe_Flanigan/FX38M4qIjYc_0000018 387.4 393.6 
Joe_Flanigan/FX38M4qIjYc_0000019 398.8 408.6 
Joe_Flanigan/FX38M4qIjYc_0000020 449.8 456.8 
Joe_Flanigan/FX38M4qIjYc_0000021 476.9 483.8 
Joe_Flanigan/FX38M4qIjYc_0000022 488.8 495.0 
Joe_Flanigan/FX38M4qIjYc_0000023 496.7 501.3 
Joe_Flanigan/FX38M4qIjYc_0000024 513.7 517.7 
Joe_Flanigan/FX38M4qIjYc_0000025 518.9 524.0 
