POI: 			Joe_Flanigan 
Youtube ID: 	GCVkZGnV53A 
Video length: 	538.8 sec 
Set (V): 		dev 
 
Joe_Flanigan/GCVkZGnV53A_0000001 10.0 15.2 
Joe_Flanigan/GCVkZGnV53A_0000002 31.5 37.6 
Joe_Flanigan/GCVkZGnV53A_0000003 38.8 43.8 
Joe_Flanigan/GCVkZGnV53A_0000004 47.6 52.1 
Joe_Flanigan/GCVkZGnV53A_0000005 94.4 100.8 
Joe_Flanigan/GCVkZGnV53A_0000006 103.4 120.5 
Joe_Flanigan/GCVkZGnV53A_0000007 172.9 177.6 
Joe_Flanigan/GCVkZGnV53A_0000008 188.3 196.2 
Joe_Flanigan/GCVkZGnV53A_0000009 213.7 219.6 
Joe_Flanigan/GCVkZGnV53A_0000010 230.4 234.8 
Joe_Flanigan/GCVkZGnV53A_0000011 236.8 241.0 
Joe_Flanigan/GCVkZGnV53A_0000012 258.5 266.7 
Joe_Flanigan/GCVkZGnV53A_0000013 274.6 279.7 
Joe_Flanigan/GCVkZGnV53A_0000014 281.8 286.2 
Joe_Flanigan/GCVkZGnV53A_0000015 293.7 299.0 
Joe_Flanigan/GCVkZGnV53A_0000016 304.8 309.1 
Joe_Flanigan/GCVkZGnV53A_0000017 363.6 371.0 
Joe_Flanigan/GCVkZGnV53A_0000018 374.9 380.2 
Joe_Flanigan/GCVkZGnV53A_0000019 387.3 393.6 
Joe_Flanigan/GCVkZGnV53A_0000020 398.7 407.2 
Joe_Flanigan/GCVkZGnV53A_0000021 449.9 456.6 
Joe_Flanigan/GCVkZGnV53A_0000022 476.9 483.6 
Joe_Flanigan/GCVkZGnV53A_0000023 488.8 495.0 
Joe_Flanigan/GCVkZGnV53A_0000024 476.9 483.8 
Joe_Flanigan/GCVkZGnV53A_0000025 488.8 495.0 
Joe_Flanigan/GCVkZGnV53A_0000026 496.6 501.1 
Joe_Flanigan/GCVkZGnV53A_0000027 513.6 517.6 
