POI: 			Jared_Harris 
Youtube ID: 	_9EMQEXQ4bE 
Video length: 	444.7 sec 
Set (V): 		dev 
 
Jared_Harris/_9EMQEXQ4bE_0000001 30.0 38.9 
Jared_Harris/_9EMQEXQ4bE_0000002 61.9 81.6 
Jared_Harris/_9EMQEXQ4bE_0000003 97.9 104.2 
Jared_Harris/_9EMQEXQ4bE_0000004 104.8 112.2 
Jared_Harris/_9EMQEXQ4bE_0000005 133.7 146.1 
Jared_Harris/_9EMQEXQ4bE_0000006 172.4 177.6 
Jared_Harris/_9EMQEXQ4bE_0000007 178.4 191.6 
Jared_Harris/_9EMQEXQ4bE_0000008 114.0 129.3 
Jared_Harris/_9EMQEXQ4bE_0000009 133.8 146.2 
Jared_Harris/_9EMQEXQ4bE_0000010 216.8 221.0 
Jared_Harris/_9EMQEXQ4bE_0000011 225.2 230.4 
Jared_Harris/_9EMQEXQ4bE_0000012 232.9 237.4 
Jared_Harris/_9EMQEXQ4bE_0000013 255.6 260.4 
Jared_Harris/_9EMQEXQ4bE_0000014 262.5 271.8 
Jared_Harris/_9EMQEXQ4bE_0000015 273.5 289.6 
Jared_Harris/_9EMQEXQ4bE_0000016 326.6 332.2 
Jared_Harris/_9EMQEXQ4bE_0000017 338.6 350.5 
Jared_Harris/_9EMQEXQ4bE_0000018 351.1 360.0 
Jared_Harris/_9EMQEXQ4bE_0000019 370.1 378.9 
Jared_Harris/_9EMQEXQ4bE_0000020 382.5 390.2 
Jared_Harris/_9EMQEXQ4bE_0000021 396.4 406.7 
Jared_Harris/_9EMQEXQ4bE_0000022 407.7 411.8 
Jared_Harris/_9EMQEXQ4bE_0000023 412.5 417.6 
Jared_Harris/_9EMQEXQ4bE_0000024 382.2 387.2 
