POI: 			Jared_Harris 
Youtube ID: 	flN_OFTQ1TE 
Video length: 	1964.5 sec 
Set (V): 		dev 
 
Jared_Harris/flN_OFTQ1TE_0000001 70.7 75.9 
Jared_Harris/flN_OFTQ1TE_0000002 103.3 109.3 
Jared_Harris/flN_OFTQ1TE_0000003 111.5 116.9 
Jared_Harris/flN_OFTQ1TE_0000004 119.8 125.2 
Jared_Harris/flN_OFTQ1TE_0000005 129.8 136.6 
Jared_Harris/flN_OFTQ1TE_0000006 143.6 147.6 
Jared_Harris/flN_OFTQ1TE_0000007 148.0 154.8 
Jared_Harris/flN_OFTQ1TE_0000008 155.3 162.9 
Jared_Harris/flN_OFTQ1TE_0000009 167.7 173.2 
Jared_Harris/flN_OFTQ1TE_0000010 178.4 187.2 
Jared_Harris/flN_OFTQ1TE_0000011 203.7 207.6 
Jared_Harris/flN_OFTQ1TE_0000012 333.4 343.4 
Jared_Harris/flN_OFTQ1TE_0000013 385.3 392.0 
Jared_Harris/flN_OFTQ1TE_0000014 405.8 411.9 
Jared_Harris/flN_OFTQ1TE_0000015 456.6 463.0 
Jared_Harris/flN_OFTQ1TE_0000016 468.8 472.8 
Jared_Harris/flN_OFTQ1TE_0000017 496.3 500.7 
Jared_Harris/flN_OFTQ1TE_0000018 536.8 541.8 
Jared_Harris/flN_OFTQ1TE_0000019 617.9 626.4 
Jared_Harris/flN_OFTQ1TE_0000020 658.6 665.6 
Jared_Harris/flN_OFTQ1TE_0000021 667.9 674.3 
Jared_Harris/flN_OFTQ1TE_0000022 678.9 683.0 
Jared_Harris/flN_OFTQ1TE_0000023 686.7 691.5 
Jared_Harris/flN_OFTQ1TE_0000024 717.6 721.6 
Jared_Harris/flN_OFTQ1TE_0000025 1118.4 1123.7 
Jared_Harris/flN_OFTQ1TE_0000026 1213.9 1218.9 
Jared_Harris/flN_OFTQ1TE_0000027 1261.1 1268.9 
Jared_Harris/flN_OFTQ1TE_0000028 1271.4 1277.0 
Jared_Harris/flN_OFTQ1TE_0000029 1305.0 1311.9 
Jared_Harris/flN_OFTQ1TE_0000030 1490.8 1501.2 
Jared_Harris/flN_OFTQ1TE_0000031 1517.6 1525.1 
Jared_Harris/flN_OFTQ1TE_0000032 1525.2 1533.2 
Jared_Harris/flN_OFTQ1TE_0000033 1555.0 1559.0 
Jared_Harris/flN_OFTQ1TE_0000034 1577.2 1589.6 
Jared_Harris/flN_OFTQ1TE_0000035 1689.6 1693.5 
Jared_Harris/flN_OFTQ1TE_0000036 1764.1 1769.7 
