POI: 			Della_Reese 
Youtube ID: 	Cfz6KgPti3Y 
Video length: 	387.9 sec 
Set (V): 		dev 
 
Della_Reese/Cfz6KgPti3Y_0000001 05.6 10.4 
Della_Reese/Cfz6KgPti3Y_0000002 13.6 28.1 
Della_Reese/Cfz6KgPti3Y_0000003 33.6 44.6 
Della_Reese/Cfz6KgPti3Y_0000004 53.7 60.3 
Della_Reese/Cfz6KgPti3Y_0000005 80.8 85.8 
Della_Reese/Cfz6KgPti3Y_0000006 89.0 93.9 
Della_Reese/Cfz6KgPti3Y_0000007 105.1 109.2 
Della_Reese/Cfz6KgPti3Y_0000008 112.5 122.8 
Della_Reese/Cfz6KgPti3Y_0000009 120.4 125.4 
Della_Reese/Cfz6KgPti3Y_0000010 126.5 132.5 
Della_Reese/Cfz6KgPti3Y_0000011 133.2 139.4 
Della_Reese/Cfz6KgPti3Y_0000012 151.7 161.3 
Della_Reese/Cfz6KgPti3Y_0000013 168.0 177.8 
Della_Reese/Cfz6KgPti3Y_0000014 185.0 192.6 
Della_Reese/Cfz6KgPti3Y_0000015 214.5 221.4 
Della_Reese/Cfz6KgPti3Y_0000016 229.6 235.5 
Della_Reese/Cfz6KgPti3Y_0000017 238.7 251.2 
Della_Reese/Cfz6KgPti3Y_0000018 256.9 262.6 
Della_Reese/Cfz6KgPti3Y_0000019 267.4 282.2 
Della_Reese/Cfz6KgPti3Y_0000020 284.0 303.4 
Della_Reese/Cfz6KgPti3Y_0000021 305.4 310.4 
Della_Reese/Cfz6KgPti3Y_0000022 315.8 328.1 
Della_Reese/Cfz6KgPti3Y_0000023 332.8 338.2 
Della_Reese/Cfz6KgPti3Y_0000024 340.5 355.0 
Della_Reese/Cfz6KgPti3Y_0000025 356.8 363.2 
Della_Reese/Cfz6KgPti3Y_0000026 369.6 377.9 
