POI: 			Catherine_Hardwicke 
Youtube ID: 	KRl63VM2jE0 
Video length: 	289.9 sec 
Set (V): 		dev 
 
Catherine_Hardwicke/KRl63VM2jE0_0000001 09.3 13.3 
Catherine_Hardwicke/KRl63VM2jE0_0000002 14.2 21.6 
Catherine_Hardwicke/KRl63VM2jE0_0000003 22.4 42.1 
Catherine_Hardwicke/KRl63VM2jE0_0000004 50.2 81.9 
Catherine_Hardwicke/KRl63VM2jE0_0000005 82.3 89.8 
Catherine_Hardwicke/KRl63VM2jE0_0000006 108.0 120.9 
Catherine_Hardwicke/KRl63VM2jE0_0000007 122.9 132.8 
Catherine_Hardwicke/KRl63VM2jE0_0000008 133.4 142.4 
Catherine_Hardwicke/KRl63VM2jE0_0000009 142.6 148.5 
Catherine_Hardwicke/KRl63VM2jE0_0000010 164.9 192.1 
Catherine_Hardwicke/KRl63VM2jE0_0000011 192.8 196.8 
Catherine_Hardwicke/KRl63VM2jE0_0000012 214.2 222.5 
Catherine_Hardwicke/KRl63VM2jE0_0000013 223.6 240.4 
Catherine_Hardwicke/KRl63VM2jE0_0000014 249.6 260.8 
Catherine_Hardwicke/KRl63VM2jE0_0000015 261.2 267.2 
Catherine_Hardwicke/KRl63VM2jE0_0000016 267.0 271.2 
Catherine_Hardwicke/KRl63VM2jE0_0000017 275.9 282.9 
