POI: 			Tony_Curran 
Youtube ID: 	fEVHUCBJk7Q 
Video length: 	638.7 sec 
Set (V): 		dev 
 
Tony_Curran/fEVHUCBJk7Q_0000001 23.2 29.4 
Tony_Curran/fEVHUCBJk7Q_0000002 33.8 40.0 
Tony_Curran/fEVHUCBJk7Q_0000003 46.6 50.8 
Tony_Curran/fEVHUCBJk7Q_0000004 56.3 62.8 
Tony_Curran/fEVHUCBJk7Q_0000005 76.3 82.0 
Tony_Curran/fEVHUCBJk7Q_0000006 83.7 88.0 
Tony_Curran/fEVHUCBJk7Q_0000007 99.0 110.1 
Tony_Curran/fEVHUCBJk7Q_0000008 112.0 134.6 
Tony_Curran/fEVHUCBJk7Q_0000009 144.8 149.5 
Tony_Curran/fEVHUCBJk7Q_0000010 160.2 165.5 
Tony_Curran/fEVHUCBJk7Q_0000011 167.3 185.3 
Tony_Curran/fEVHUCBJk7Q_0000012 190.4 195.2 
Tony_Curran/fEVHUCBJk7Q_0000013 196.1 211.1 
Tony_Curran/fEVHUCBJk7Q_0000014 213.2 217.6 
Tony_Curran/fEVHUCBJk7Q_0000015 226.4 244.7 
Tony_Curran/fEVHUCBJk7Q_0000016 251.7 263.0 
Tony_Curran/fEVHUCBJk7Q_0000017 264.6 276.0 
Tony_Curran/fEVHUCBJk7Q_0000018 276.8 283.7 
Tony_Curran/fEVHUCBJk7Q_0000019 306.4 311.9 
Tony_Curran/fEVHUCBJk7Q_0000020 313.0 318.5 
Tony_Curran/fEVHUCBJk7Q_0000021 339.0 343.8 
Tony_Curran/fEVHUCBJk7Q_0000022 344.8 351.6 
Tony_Curran/fEVHUCBJk7Q_0000023 355.1 359.2 
Tony_Curran/fEVHUCBJk7Q_0000024 378.8 384.2 
Tony_Curran/fEVHUCBJk7Q_0000025 385.6 391.9 
Tony_Curran/fEVHUCBJk7Q_0000026 401.3 408.2 
Tony_Curran/fEVHUCBJk7Q_0000027 409.0 415.8 
Tony_Curran/fEVHUCBJk7Q_0000028 420.6 425.1 
Tony_Curran/fEVHUCBJk7Q_0000029 426.0 442.4 
Tony_Curran/fEVHUCBJk7Q_0000030 445.4 454.8 
Tony_Curran/fEVHUCBJk7Q_0000031 455.4 467.6 
Tony_Curran/fEVHUCBJk7Q_0000032 474.4 485.4 
Tony_Curran/fEVHUCBJk7Q_0000033 492.5 501.9 
Tony_Curran/fEVHUCBJk7Q_0000034 503.9 515.6 
Tony_Curran/fEVHUCBJk7Q_0000035 519.5 536.8 
Tony_Curran/fEVHUCBJk7Q_0000036 538.3 543.4 
Tony_Curran/fEVHUCBJk7Q_0000037 545.1 550.8 
Tony_Curran/fEVHUCBJk7Q_0000038 560.4 567.8 
Tony_Curran/fEVHUCBJk7Q_0000039 569.1 580.6 
Tony_Curran/fEVHUCBJk7Q_0000040 600.2 610.6 
Tony_Curran/fEVHUCBJk7Q_0000041 611.0 616.0 
Tony_Curran/fEVHUCBJk7Q_0000042 618.0 628.7 
