POI: 			Donna_Mills 
Youtube ID: 	tn7Roknj3EI 
Video length: 	1844.0 sec 
Set (V): 		dev 
 
Donna_Mills/tn7Roknj3EI_0000001 46.8 51.6 
Donna_Mills/tn7Roknj3EI_0000002 76.2 80.7 
Donna_Mills/tn7Roknj3EI_0000003 82.8 91.4 
Donna_Mills/tn7Roknj3EI_0000004 106.5 112.0 
Donna_Mills/tn7Roknj3EI_0000005 125.2 129.2 
Donna_Mills/tn7Roknj3EI_0000006 130.4 137.4 
Donna_Mills/tn7Roknj3EI_0000007 152.2 156.2 
Donna_Mills/tn7Roknj3EI_0000008 160.3 165.5 
Donna_Mills/tn7Roknj3EI_0000009 170.1 175.5 
Donna_Mills/tn7Roknj3EI_0000010 186.1 190.4 
Donna_Mills/tn7Roknj3EI_0000011 265.4 278.2 
Donna_Mills/tn7Roknj3EI_0000012 290.2 294.6 
Donna_Mills/tn7Roknj3EI_0000013 301.1 309.3 
Donna_Mills/tn7Roknj3EI_0000014 328.8 343.2 
Donna_Mills/tn7Roknj3EI_0000015 346.4 350.6 
Donna_Mills/tn7Roknj3EI_0000016 352.5 361.8 
Donna_Mills/tn7Roknj3EI_0000017 385.5 390.6 
Donna_Mills/tn7Roknj3EI_0000018 442.4 454.0 
Donna_Mills/tn7Roknj3EI_0000019 460.8 472.6 
Donna_Mills/tn7Roknj3EI_0000020 483.4 492.0 
Donna_Mills/tn7Roknj3EI_0000021 503.8 511.4 
Donna_Mills/tn7Roknj3EI_0000022 515.4 536.3 
Donna_Mills/tn7Roknj3EI_0000023 537.7 545.6 
Donna_Mills/tn7Roknj3EI_0000024 636.2 642.2 
Donna_Mills/tn7Roknj3EI_0000025 819.5 829.5 
Donna_Mills/tn7Roknj3EI_0000026 940.0 944.9 
Donna_Mills/tn7Roknj3EI_0000027 969.5 980.4 
Donna_Mills/tn7Roknj3EI_0000028 1055.7 1073.3 
Donna_Mills/tn7Roknj3EI_0000029 1074.1 1078.6 
Donna_Mills/tn7Roknj3EI_0000030 1090.6 1095.4 
Donna_Mills/tn7Roknj3EI_0000031 1096.4 1106.3 
Donna_Mills/tn7Roknj3EI_0000032 1109.8 1115.8 
Donna_Mills/tn7Roknj3EI_0000033 1126.7 1131.6 
Donna_Mills/tn7Roknj3EI_0000034 1135.1 1142.9 
Donna_Mills/tn7Roknj3EI_0000035 1178.2 1190.8 
Donna_Mills/tn7Roknj3EI_0000036 1248.0 1258.2 
Donna_Mills/tn7Roknj3EI_0000037 1312.4 1324.1 
Donna_Mills/tn7Roknj3EI_0000038 1344.0 1349.8 
Donna_Mills/tn7Roknj3EI_0000039 1364.3 1375.7 
Donna_Mills/tn7Roknj3EI_0000040 1376.2 1381.1 
Donna_Mills/tn7Roknj3EI_0000041 1403.8 1409.6 
Donna_Mills/tn7Roknj3EI_0000042 1438.8 1447.2 
Donna_Mills/tn7Roknj3EI_0000043 1465.5 1472.8 
Donna_Mills/tn7Roknj3EI_0000044 1474.5 1481.9 
Donna_Mills/tn7Roknj3EI_0000045 1517.4 1526.3 
Donna_Mills/tn7Roknj3EI_0000046 1579.0 1586.9 
Donna_Mills/tn7Roknj3EI_0000047 1592.8 1597.4 
Donna_Mills/tn7Roknj3EI_0000048 1617.0 1625.5 
Donna_Mills/tn7Roknj3EI_0000049 1626.6 1634.0 
Donna_Mills/tn7Roknj3EI_0000050 1658.0 1662.1 
Donna_Mills/tn7Roknj3EI_0000051 1668.6 1672.9 
Donna_Mills/tn7Roknj3EI_0000052 1674.7 1679.6 
Donna_Mills/tn7Roknj3EI_0000053 1721.2 1739.9 
Donna_Mills/tn7Roknj3EI_0000054 1794.5 1802.9 
Donna_Mills/tn7Roknj3EI_0000055 1804.4 1815.9 
