POI: 			Victoria_Rowell 
Youtube ID: 	iyucJ2fksPo 
Video length: 	487.2 sec 
Set (V): 		dev 
 
Victoria_Rowell/iyucJ2fksPo_0000001 18.8 23.2 
Victoria_Rowell/iyucJ2fksPo_0000002 23.4 28.2 
Victoria_Rowell/iyucJ2fksPo_0000003 44.6 49.0 
Victoria_Rowell/iyucJ2fksPo_0000004 54.5 58.4 
Victoria_Rowell/iyucJ2fksPo_0000005 65.4 72.7 
Victoria_Rowell/iyucJ2fksPo_0000006 72.8 78.9 
Victoria_Rowell/iyucJ2fksPo_0000007 103.8 109.4 
Victoria_Rowell/iyucJ2fksPo_0000008 74.4 81.8 
Victoria_Rowell/iyucJ2fksPo_0000009 134.4 142.1 
Victoria_Rowell/iyucJ2fksPo_0000010 144.8 151.6 
Victoria_Rowell/iyucJ2fksPo_0000011 157.0 170.0 
Victoria_Rowell/iyucJ2fksPo_0000012 173.8 186.3 
Victoria_Rowell/iyucJ2fksPo_0000013 188.6 193.5 
Victoria_Rowell/iyucJ2fksPo_0000014 204.0 212.9 
Victoria_Rowell/iyucJ2fksPo_0000015 223.1 236.4 
Victoria_Rowell/iyucJ2fksPo_0000016 245.9 251.4 
Victoria_Rowell/iyucJ2fksPo_0000017 331.2 347.3 
Victoria_Rowell/iyucJ2fksPo_0000018 348.0 354.0 
Victoria_Rowell/iyucJ2fksPo_0000019 357.2 368.1 
Victoria_Rowell/iyucJ2fksPo_0000020 369.4 386.0 
Victoria_Rowell/iyucJ2fksPo_0000021 337.9 347.3 
Victoria_Rowell/iyucJ2fksPo_0000022 348.0 389.4 
Victoria_Rowell/iyucJ2fksPo_0000023 436.4 441.0 
