POI: 			Jessica_De_Gouw 
Youtube ID: 	h0P7XPHskpE 
Video length: 	222.9 sec 
Set (V): 		dev 
 
Jessica_De_Gouw/h0P7XPHskpE_0000001 09.6 14.3 
Jessica_De_Gouw/h0P7XPHskpE_0000002 14.6 23.4 
Jessica_De_Gouw/h0P7XPHskpE_0000003 23.7 44.2 
Jessica_De_Gouw/h0P7XPHskpE_0000004 49.3 54.8 
Jessica_De_Gouw/h0P7XPHskpE_0000005 56.8 66.4 
Jessica_De_Gouw/h0P7XPHskpE_0000006 66.8 91.0 
Jessica_De_Gouw/h0P7XPHskpE_0000007 93.3 98.9 
Jessica_De_Gouw/h0P7XPHskpE_0000008 99.8 107.0 
Jessica_De_Gouw/h0P7XPHskpE_0000009 115.0 131.7 
Jessica_De_Gouw/h0P7XPHskpE_0000010 133.9 150.6 
Jessica_De_Gouw/h0P7XPHskpE_0000011 160.1 169.7 
Jessica_De_Gouw/h0P7XPHskpE_0000012 170.1 179.4 
Jessica_De_Gouw/h0P7XPHskpE_0000013 180.2 192.1 
Jessica_De_Gouw/h0P7XPHskpE_0000014 192.3 197.4 
Jessica_De_Gouw/h0P7XPHskpE_0000015 198.2 206.6 
Jessica_De_Gouw/h0P7XPHskpE_0000016 206.9 211.6 
Jessica_De_Gouw/h0P7XPHskpE_0000017 211.8 217.0 
