POI: 			Chiwetel_Ejiofor 
Youtube ID: 	ZvvN51PkKGk 
Video length: 	307.8 sec 
Set (V): 		dev 
 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000001 19.2 30.4 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000002 31.1 40.9 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000003 43.6 50.2 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000004 64.8 73.6 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000005 87.9 96.2 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000006 100.5 106.0 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000007 111.5 118.4 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000008 120.3 129.5 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000009 124.1 137.8 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000010 163.4 179.5 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000011 206.1 215.6 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000012 223.9 228.6 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000013 228.7 249.2 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000014 267.1 271.1 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000015 273.8 293.8 
Chiwetel_Ejiofor/ZvvN51PkKGk_0000016 298.3 304.0 
