POI: 			Thomas_Ian_Nicholas 
Youtube ID: 	S_5csWMZGs8 
Video length: 	794.1 sec 
Set (V): 		dev 
 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000001 21.9 46.0 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000002 49.7 65.1 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000003 88.1 100.4 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000004 117.9 134.2 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000005 157.8 165.5 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000006 176.9 188.8 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000007 189.2 193.7 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000008 215.3 220.0 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000009 225.2 252.1 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000010 263.6 268.8 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000011 269.5 275.2 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000012 307.1 322.3 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000013 323.6 347.6 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000014 368.3 372.8 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000015 373.8 384.1 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000016 386.2 402.9 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000017 407.0 436.9 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000018 441.8 452.3 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000019 458.0 465.6 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000020 504.9 511.0 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000021 536.6 548.6 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000022 552.9 571.3 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000023 585.3 591.4 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000024 641.6 652.4 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000025 663.0 694.0 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000026 697.8 714.1 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000027 730.1 754.2 
Thomas_Ian_Nicholas/S_5csWMZGs8_0000028 757.4 774.2 
