POI: 			Neil_Gaiman 
Youtube ID: 	6KXf1QT9GC0 
Video length: 	1349.9 sec 
Set (V): 		dev 
 
Neil_Gaiman/6KXf1QT9GC0_0000001 63.0 69.2 
Neil_Gaiman/6KXf1QT9GC0_0000002 141.3 145.8 
Neil_Gaiman/6KXf1QT9GC0_0000003 179.4 186.7 
Neil_Gaiman/6KXf1QT9GC0_0000004 266.2 273.2 
Neil_Gaiman/6KXf1QT9GC0_0000005 274.5 283.2 
Neil_Gaiman/6KXf1QT9GC0_0000006 284.4 292.2 
Neil_Gaiman/6KXf1QT9GC0_0000007 307.6 311.8 
Neil_Gaiman/6KXf1QT9GC0_0000008 311.8 316.1 
Neil_Gaiman/6KXf1QT9GC0_0000009 321.7 342.7 
Neil_Gaiman/6KXf1QT9GC0_0000010 343.0 347.0 
Neil_Gaiman/6KXf1QT9GC0_0000011 394.0 401.2 
Neil_Gaiman/6KXf1QT9GC0_0000012 422.4 426.4 
Neil_Gaiman/6KXf1QT9GC0_0000013 435.2 440.4 
Neil_Gaiman/6KXf1QT9GC0_0000014 441.2 445.3 
Neil_Gaiman/6KXf1QT9GC0_0000015 455.7 461.6 
Neil_Gaiman/6KXf1QT9GC0_0000016 471.4 475.9 
Neil_Gaiman/6KXf1QT9GC0_0000017 482.9 488.2 
Neil_Gaiman/6KXf1QT9GC0_0000018 496.5 509.1 
Neil_Gaiman/6KXf1QT9GC0_0000019 513.3 520.1 
Neil_Gaiman/6KXf1QT9GC0_0000020 523.6 528.9 
Neil_Gaiman/6KXf1QT9GC0_0000021 537.5 542.3 
Neil_Gaiman/6KXf1QT9GC0_0000022 560.2 567.6 
Neil_Gaiman/6KXf1QT9GC0_0000023 570.2 575.1 
Neil_Gaiman/6KXf1QT9GC0_0000024 580.4 584.7 
Neil_Gaiman/6KXf1QT9GC0_0000025 584.8 589.3 
Neil_Gaiman/6KXf1QT9GC0_0000026 760.3 775.4 
Neil_Gaiman/6KXf1QT9GC0_0000027 781.4 786.1 
Neil_Gaiman/6KXf1QT9GC0_0000028 804.3 808.8 
Neil_Gaiman/6KXf1QT9GC0_0000029 831.7 835.9 
Neil_Gaiman/6KXf1QT9GC0_0000030 844.8 851.1 
Neil_Gaiman/6KXf1QT9GC0_0000031 854.9 864.6 
Neil_Gaiman/6KXf1QT9GC0_0000032 859.0 864.1 
Neil_Gaiman/6KXf1QT9GC0_0000033 876.8 883.6 
Neil_Gaiman/6KXf1QT9GC0_0000034 886.5 894.0 
Neil_Gaiman/6KXf1QT9GC0_0000035 902.2 909.9 
Neil_Gaiman/6KXf1QT9GC0_0000036 913.5 919.1 
Neil_Gaiman/6KXf1QT9GC0_0000037 922.4 926.6 
Neil_Gaiman/6KXf1QT9GC0_0000038 1134.7 1139.6 
Neil_Gaiman/6KXf1QT9GC0_0000039 1154.4 1160.2 
Neil_Gaiman/6KXf1QT9GC0_0000040 1235.1 1239.2 
Neil_Gaiman/6KXf1QT9GC0_0000041 1240.1 1248.4 
Neil_Gaiman/6KXf1QT9GC0_0000042 1284.9 1292.9 
Neil_Gaiman/6KXf1QT9GC0_0000043 1295.1 1304.6 
Neil_Gaiman/6KXf1QT9GC0_0000044 1316.0 1322.3 
Neil_Gaiman/6KXf1QT9GC0_0000045 1328.4 1335.4 
Neil_Gaiman/6KXf1QT9GC0_0000046 1340.0 1348.2 
