POI: 			Ernest_Borgnine 
Youtube ID: 	8EDKH42GZ1o 
Video length: 	475.9 sec 
Set (V): 		test 
 
Ernest_Borgnine/8EDKH42GZ1o_0000001 22.2 26.8 
Ernest_Borgnine/8EDKH42GZ1o_0000002 28.3 33.1 
Ernest_Borgnine/8EDKH42GZ1o_0000003 34.5 40.1 
Ernest_Borgnine/8EDKH42GZ1o_0000004 43.9 50.6 
Ernest_Borgnine/8EDKH42GZ1o_0000005 51.0 61.8 
Ernest_Borgnine/8EDKH42GZ1o_0000006 64.1 68.3 
Ernest_Borgnine/8EDKH42GZ1o_0000007 75.5 88.7 
Ernest_Borgnine/8EDKH42GZ1o_0000008 89.1 93.6 
Ernest_Borgnine/8EDKH42GZ1o_0000009 94.0 99.4 
Ernest_Borgnine/8EDKH42GZ1o_0000010 101.2 107.6 
Ernest_Borgnine/8EDKH42GZ1o_0000011 109.4 117.4 
Ernest_Borgnine/8EDKH42GZ1o_0000012 118.4 126.8 
Ernest_Borgnine/8EDKH42GZ1o_0000013 127.6 136.4 
Ernest_Borgnine/8EDKH42GZ1o_0000014 145.9 153.2 
Ernest_Borgnine/8EDKH42GZ1o_0000015 166.3 175.2 
Ernest_Borgnine/8EDKH42GZ1o_0000016 176.0 181.9 
Ernest_Borgnine/8EDKH42GZ1o_0000017 182.2 193.7 
Ernest_Borgnine/8EDKH42GZ1o_0000018 203.1 219.1 
Ernest_Borgnine/8EDKH42GZ1o_0000019 222.5 239.9 
Ernest_Borgnine/8EDKH42GZ1o_0000020 240.7 247.3 
Ernest_Borgnine/8EDKH42GZ1o_0000021 260.4 265.1 
Ernest_Borgnine/8EDKH42GZ1o_0000022 265.7 272.0 
Ernest_Borgnine/8EDKH42GZ1o_0000023 284.8 292.6 
Ernest_Borgnine/8EDKH42GZ1o_0000024 316.2 325.7 
Ernest_Borgnine/8EDKH42GZ1o_0000025 326.1 335.1 
Ernest_Borgnine/8EDKH42GZ1o_0000026 335.6 341.9 
Ernest_Borgnine/8EDKH42GZ1o_0000027 342.3 353.1 
Ernest_Borgnine/8EDKH42GZ1o_0000028 360.6 367.2 
Ernest_Borgnine/8EDKH42GZ1o_0000029 380.3 384.7 
Ernest_Borgnine/8EDKH42GZ1o_0000030 385.4 389.8 
Ernest_Borgnine/8EDKH42GZ1o_0000031 394.6 401.0 
Ernest_Borgnine/8EDKH42GZ1o_0000032 408.1 416.1 
Ernest_Borgnine/8EDKH42GZ1o_0000033 417.2 422.9 
Ernest_Borgnine/8EDKH42GZ1o_0000034 424.4 429.0 
Ernest_Borgnine/8EDKH42GZ1o_0000035 432.3 437.2 
Ernest_Borgnine/8EDKH42GZ1o_0000036 439.6 450.5 
Ernest_Borgnine/8EDKH42GZ1o_0000037 454.2 459.3 
