POI: 			Edgar_Wright 
Youtube ID: 	YloBWJxXzMI 
Video length: 	325.0 sec 
Set (V): 		test 
 
Edgar_Wright/YloBWJxXzMI_0000001 13.1 17.6 
Edgar_Wright/YloBWJxXzMI_0000002 18.7 23.1 
Edgar_Wright/YloBWJxXzMI_0000003 25.0 29.7 
Edgar_Wright/YloBWJxXzMI_0000004 30.6 34.7 
Edgar_Wright/YloBWJxXzMI_0000005 36.9 41.4 
Edgar_Wright/YloBWJxXzMI_0000006 41.9 50.4 
Edgar_Wright/YloBWJxXzMI_0000007 53.7 65.8 
Edgar_Wright/YloBWJxXzMI_0000008 79.0 92.6 
Edgar_Wright/YloBWJxXzMI_0000009 93.0 105.6 
Edgar_Wright/YloBWJxXzMI_0000010 105.8 128.9 
Edgar_Wright/YloBWJxXzMI_0000011 134.6 145.9 
Edgar_Wright/YloBWJxXzMI_0000012 148.0 154.8 
Edgar_Wright/YloBWJxXzMI_0000013 159.4 169.0 
Edgar_Wright/YloBWJxXzMI_0000014 188.1 195.1 
Edgar_Wright/YloBWJxXzMI_0000015 199.6 212.8 
Edgar_Wright/YloBWJxXzMI_0000016 216.7 222.8 
Edgar_Wright/YloBWJxXzMI_0000017 225.6 233.1 
Edgar_Wright/YloBWJxXzMI_0000018 243.8 253.8 
Edgar_Wright/YloBWJxXzMI_0000019 254.4 271.6 
