POI: 			Edgar_Wright 
Youtube ID: 	FDhJhEu0JUM 
Video length: 	307.2 sec 
Set (V): 		test 
 
Edgar_Wright/FDhJhEu0JUM_0000001 12.5 34.5 
Edgar_Wright/FDhJhEu0JUM_0000002 36.3 53.5 
Edgar_Wright/FDhJhEu0JUM_0000003 54.0 76.1 
Edgar_Wright/FDhJhEu0JUM_0000004 78.2 84.3 
Edgar_Wright/FDhJhEu0JUM_0000005 86.4 93.8 
Edgar_Wright/FDhJhEu0JUM_0000006 94.4 102.3 
Edgar_Wright/FDhJhEu0JUM_0000007 107.7 120.0 
Edgar_Wright/FDhJhEu0JUM_0000008 123.0 128.7 
Edgar_Wright/FDhJhEu0JUM_0000009 129.1 142.5 
Edgar_Wright/FDhJhEu0JUM_0000010 117.1 122.1 
Edgar_Wright/FDhJhEu0JUM_0000011 122.8 128.7 
Edgar_Wright/FDhJhEu0JUM_0000012 129.0 138.3 
Edgar_Wright/FDhJhEu0JUM_0000013 162.1 166.5 
Edgar_Wright/FDhJhEu0JUM_0000014 169.9 178.3 
Edgar_Wright/FDhJhEu0JUM_0000015 178.5 208.2 
Edgar_Wright/FDhJhEu0JUM_0000016 221.1 241.6 
Edgar_Wright/FDhJhEu0JUM_0000017 252.4 263.0 
Edgar_Wright/FDhJhEu0JUM_0000018 265.2 272.8 
Edgar_Wright/FDhJhEu0JUM_0000019 281.6 285.8 
Edgar_Wright/FDhJhEu0JUM_0000020 294.6 298.8 
