POI: 			Jai_Courtney 
Youtube ID: 	cKYTZp8y3Ao 
Video length: 	908.6 sec 
Set (V): 		dev 
 
Jai_Courtney/cKYTZp8y3Ao_0000001 62.0 70.8 
Jai_Courtney/cKYTZp8y3Ao_0000002 71.7 85.8 
Jai_Courtney/cKYTZp8y3Ao_0000003 86.8 96.5 
Jai_Courtney/cKYTZp8y3Ao_0000004 99.6 105.8 
Jai_Courtney/cKYTZp8y3Ao_0000005 114.8 134.3 
Jai_Courtney/cKYTZp8y3Ao_0000006 138.2 150.2 
Jai_Courtney/cKYTZp8y3Ao_0000007 165.7 171.5 
Jai_Courtney/cKYTZp8y3Ao_0000008 172.0 176.3 
Jai_Courtney/cKYTZp8y3Ao_0000009 180.4 185.6 
Jai_Courtney/cKYTZp8y3Ao_0000010 147.1 151.3 
Jai_Courtney/cKYTZp8y3Ao_0000011 193.3 200.4 
Jai_Courtney/cKYTZp8y3Ao_0000012 215.0 221.7 
Jai_Courtney/cKYTZp8y3Ao_0000013 277.5 296.3 
Jai_Courtney/cKYTZp8y3Ao_0000014 300.6 313.7 
Jai_Courtney/cKYTZp8y3Ao_0000015 320.1 354.6 
Jai_Courtney/cKYTZp8y3Ao_0000016 355.3 359.7 
Jai_Courtney/cKYTZp8y3Ao_0000017 382.8 387.1 
Jai_Courtney/cKYTZp8y3Ao_0000018 387.2 391.4 
Jai_Courtney/cKYTZp8y3Ao_0000019 407.8 411.9 
Jai_Courtney/cKYTZp8y3Ao_0000020 419.3 440.6 
Jai_Courtney/cKYTZp8y3Ao_0000021 463.2 469.7 
Jai_Courtney/cKYTZp8y3Ao_0000022 441.0 462.5 
Jai_Courtney/cKYTZp8y3Ao_0000023 442.0 446.2 
Jai_Courtney/cKYTZp8y3Ao_0000024 494.6 502.8 
Jai_Courtney/cKYTZp8y3Ao_0000025 539.4 569.5 
Jai_Courtney/cKYTZp8y3Ao_0000026 570.2 577.3 
Jai_Courtney/cKYTZp8y3Ao_0000027 577.4 594.5 
Jai_Courtney/cKYTZp8y3Ao_0000028 607.5 614.6 
Jai_Courtney/cKYTZp8y3Ao_0000029 615.5 633.7 
Jai_Courtney/cKYTZp8y3Ao_0000030 642.2 659.0 
Jai_Courtney/cKYTZp8y3Ao_0000031 664.4 670.1 
Jai_Courtney/cKYTZp8y3Ao_0000032 689.8 694.5 
Jai_Courtney/cKYTZp8y3Ao_0000033 695.1 705.2 
Jai_Courtney/cKYTZp8y3Ao_0000034 706.9 711.0 
Jai_Courtney/cKYTZp8y3Ao_0000035 717.0 723.1 
Jai_Courtney/cKYTZp8y3Ao_0000036 724.9 730.7 
Jai_Courtney/cKYTZp8y3Ao_0000037 731.9 743.0 
Jai_Courtney/cKYTZp8y3Ao_0000038 747.8 753.5 
Jai_Courtney/cKYTZp8y3Ao_0000039 763.4 779.5 
Jai_Courtney/cKYTZp8y3Ao_0000040 779.6 784.8 
Jai_Courtney/cKYTZp8y3Ao_0000041 818.0 822.1 
