POI: 			Taylor_Swift 
Youtube ID: 	8PH4PrDRuZk 
Video length: 	1339.7 sec 
Set (V): 		dev 
 
Taylor_Swift/8PH4PrDRuZk_0000001 113.9 124.8 
Taylor_Swift/8PH4PrDRuZk_0000002 124.9 139.0 
Taylor_Swift/8PH4PrDRuZk_0000003 158.0 167.3 
Taylor_Swift/8PH4PrDRuZk_0000004 235.7 239.9 
Taylor_Swift/8PH4PrDRuZk_0000005 261.2 265.8 
Taylor_Swift/8PH4PrDRuZk_0000006 295.7 301.1 
Taylor_Swift/8PH4PrDRuZk_0000007 320.6 326.6 
Taylor_Swift/8PH4PrDRuZk_0000008 388.4 395.5 
Taylor_Swift/8PH4PrDRuZk_0000009 406.9 417.7 
Taylor_Swift/8PH4PrDRuZk_0000010 536.9 541.2 
Taylor_Swift/8PH4PrDRuZk_0000011 541.5 549.6 
Taylor_Swift/8PH4PrDRuZk_0000012 627.4 637.7 
Taylor_Swift/8PH4PrDRuZk_0000013 670.4 674.8 
Taylor_Swift/8PH4PrDRuZk_0000014 676.2 684.8 
Taylor_Swift/8PH4PrDRuZk_0000015 710.2 714.1 
Taylor_Swift/8PH4PrDRuZk_0000016 802.6 809.4 
Taylor_Swift/8PH4PrDRuZk_0000017 816.9 825.6 
Taylor_Swift/8PH4PrDRuZk_0000018 981.2 986.4 
Taylor_Swift/8PH4PrDRuZk_0000019 1021.9 1028.7 
Taylor_Swift/8PH4PrDRuZk_0000020 1027.8 1033.4 
Taylor_Swift/8PH4PrDRuZk_0000021 1044.4 1050.0 
Taylor_Swift/8PH4PrDRuZk_0000022 1088.4 1101.4 
Taylor_Swift/8PH4PrDRuZk_0000023 1105.6 1109.8 
Taylor_Swift/8PH4PrDRuZk_0000024 1130.7 1135.0 
Taylor_Swift/8PH4PrDRuZk_0000025 1142.6 1148.3 
Taylor_Swift/8PH4PrDRuZk_0000026 1211.7 1217.2 
Taylor_Swift/8PH4PrDRuZk_0000027 1226.8 1236.0 
Taylor_Swift/8PH4PrDRuZk_0000028 1289.7 1295.6 
