POI: 			Ranbir_Kapoor 
Youtube ID: 	BJ-mjwsDrTs 
Video length: 	2025.3 sec 
Set (V): 		dev 
 
Ranbir_Kapoor/BJ-mjwsDrTs_0000001 262.1 267.6 
Ranbir_Kapoor/BJ-mjwsDrTs_0000002 326.1 331.1 
Ranbir_Kapoor/BJ-mjwsDrTs_0000003 440.3 446.6 
Ranbir_Kapoor/BJ-mjwsDrTs_0000004 453.1 459.8 
Ranbir_Kapoor/BJ-mjwsDrTs_0000005 478.0 482.8 
Ranbir_Kapoor/BJ-mjwsDrTs_0000006 557.4 562.2 
Ranbir_Kapoor/BJ-mjwsDrTs_0000007 590.3 596.0 
Ranbir_Kapoor/BJ-mjwsDrTs_0000008 600.0 608.2 
Ranbir_Kapoor/BJ-mjwsDrTs_0000009 618.4 622.5 
Ranbir_Kapoor/BJ-mjwsDrTs_0000010 740.4 744.9 
Ranbir_Kapoor/BJ-mjwsDrTs_0000011 791.9 799.3 
Ranbir_Kapoor/BJ-mjwsDrTs_0000012 901.1 905.2 
Ranbir_Kapoor/BJ-mjwsDrTs_0000013 914.6 918.6 
Ranbir_Kapoor/BJ-mjwsDrTs_0000014 939.6 944.1 
Ranbir_Kapoor/BJ-mjwsDrTs_0000015 1129.9 1135.2 
Ranbir_Kapoor/BJ-mjwsDrTs_0000016 1149.7 1156.0 
Ranbir_Kapoor/BJ-mjwsDrTs_0000017 1202.3 1208.3 
Ranbir_Kapoor/BJ-mjwsDrTs_0000018 1262.3 1270.7 
Ranbir_Kapoor/BJ-mjwsDrTs_0000019 1310.3 1314.4 
Ranbir_Kapoor/BJ-mjwsDrTs_0000020 1395.0 1401.1 
Ranbir_Kapoor/BJ-mjwsDrTs_0000021 1428.9 1440.1 
Ranbir_Kapoor/BJ-mjwsDrTs_0000022 1546.7 1550.9 
Ranbir_Kapoor/BJ-mjwsDrTs_0000023 1555.5 1560.6 
Ranbir_Kapoor/BJ-mjwsDrTs_0000024 1567.4 1573.6 
Ranbir_Kapoor/BJ-mjwsDrTs_0000025 1607.2 1613.0 
Ranbir_Kapoor/BJ-mjwsDrTs_0000026 1637.4 1644.5 
Ranbir_Kapoor/BJ-mjwsDrTs_0000027 1644.9 1650.4 
Ranbir_Kapoor/BJ-mjwsDrTs_0000028 1694.2 1698.5 
Ranbir_Kapoor/BJ-mjwsDrTs_0000029 1717.2 1722.4 
Ranbir_Kapoor/BJ-mjwsDrTs_0000030 1946.4 1955.2 
