POI: 			Ranbir_Kapoor 
Youtube ID: 	K38Ya_Sag_g 
Video length: 	450.3 sec 
Set (V): 		dev 
 
Ranbir_Kapoor/K38Ya_Sag_g_0000001 47.3 57.3 
Ranbir_Kapoor/K38Ya_Sag_g_0000002 62.4 70.2 
Ranbir_Kapoor/K38Ya_Sag_g_0000003 80.5 85.6 
Ranbir_Kapoor/K38Ya_Sag_g_0000004 104.5 112.2 
Ranbir_Kapoor/K38Ya_Sag_g_0000005 115.4 131.4 
Ranbir_Kapoor/K38Ya_Sag_g_0000006 134.7 145.1 
Ranbir_Kapoor/K38Ya_Sag_g_0000007 150.6 156.9 
Ranbir_Kapoor/K38Ya_Sag_g_0000008 167.6 175.1 
Ranbir_Kapoor/K38Ya_Sag_g_0000009 183.3 199.5 
Ranbir_Kapoor/K38Ya_Sag_g_0000010 217.8 224.9 
Ranbir_Kapoor/K38Ya_Sag_g_0000011 225.1 231.6 
Ranbir_Kapoor/K38Ya_Sag_g_0000012 235.1 242.0 
Ranbir_Kapoor/K38Ya_Sag_g_0000013 247.2 255.0 
Ranbir_Kapoor/K38Ya_Sag_g_0000014 269.2 276.3 
Ranbir_Kapoor/K38Ya_Sag_g_0000015 295.5 302.6 
Ranbir_Kapoor/K38Ya_Sag_g_0000016 305.7 314.0 
Ranbir_Kapoor/K38Ya_Sag_g_0000017 317.6 324.6 
Ranbir_Kapoor/K38Ya_Sag_g_0000018 336.4 343.2 
Ranbir_Kapoor/K38Ya_Sag_g_0000019 343.6 349.8 
Ranbir_Kapoor/K38Ya_Sag_g_0000020 365.0 369.0 
Ranbir_Kapoor/K38Ya_Sag_g_0000021 403.6 407.6 
Ranbir_Kapoor/K38Ya_Sag_g_0000022 427.4 434.7 
