POI: 			Ranbir_Kapoor 
Youtube ID: 	Y700CCRzcCo 
Video length: 	1644.2 sec 
Set (V): 		dev 
 
Ranbir_Kapoor/Y700CCRzcCo_0000001 283.2 287.8 
Ranbir_Kapoor/Y700CCRzcCo_0000002 406.9 417.3 
Ranbir_Kapoor/Y700CCRzcCo_0000003 417.4 423.0 
Ranbir_Kapoor/Y700CCRzcCo_0000004 429.0 436.2 
Ranbir_Kapoor/Y700CCRzcCo_0000005 478.3 485.8 
Ranbir_Kapoor/Y700CCRzcCo_0000006 498.6 502.6 
Ranbir_Kapoor/Y700CCRzcCo_0000007 513.5 519.3 
Ranbir_Kapoor/Y700CCRzcCo_0000008 519.8 525.1 
Ranbir_Kapoor/Y700CCRzcCo_0000009 536.7 542.0 
Ranbir_Kapoor/Y700CCRzcCo_0000010 582.0 590.1 
Ranbir_Kapoor/Y700CCRzcCo_0000011 590.8 596.4 
Ranbir_Kapoor/Y700CCRzcCo_0000012 605.9 612.7 
Ranbir_Kapoor/Y700CCRzcCo_0000013 616.7 625.1 
Ranbir_Kapoor/Y700CCRzcCo_0000014 787.9 793.9 
Ranbir_Kapoor/Y700CCRzcCo_0000015 796.0 801.8 
Ranbir_Kapoor/Y700CCRzcCo_0000016 822.1 829.9 
Ranbir_Kapoor/Y700CCRzcCo_0000017 830.2 845.4 
Ranbir_Kapoor/Y700CCRzcCo_0000018 911.2 917.1 
Ranbir_Kapoor/Y700CCRzcCo_0000019 931.9 940.1 
Ranbir_Kapoor/Y700CCRzcCo_0000020 985.5 990.2 
Ranbir_Kapoor/Y700CCRzcCo_0000021 990.5 994.8 
Ranbir_Kapoor/Y700CCRzcCo_0000022 1038.6 1044.6 
Ranbir_Kapoor/Y700CCRzcCo_0000023 1101.0 1106.3 
Ranbir_Kapoor/Y700CCRzcCo_0000024 1110.2 1116.8 
Ranbir_Kapoor/Y700CCRzcCo_0000025 1135.7 1140.0 
Ranbir_Kapoor/Y700CCRzcCo_0000026 1164.2 1172.5 
Ranbir_Kapoor/Y700CCRzcCo_0000027 1186.0 1193.8 
Ranbir_Kapoor/Y700CCRzcCo_0000028 1217.7 1223.3 
Ranbir_Kapoor/Y700CCRzcCo_0000029 1224.3 1230.9 
Ranbir_Kapoor/Y700CCRzcCo_0000030 1500.7 1505.4 
Ranbir_Kapoor/Y700CCRzcCo_0000031 1507.1 1512.4 
