POI: 			Imelda_Staunton 
Youtube ID: 	pBnUi0uiM7Q 
Video length: 	450.8 sec 
Set (V): 		dev 
 
Imelda_Staunton/pBnUi0uiM7Q_0000001 07.1 45.4 
Imelda_Staunton/pBnUi0uiM7Q_0000002 55.2 60.8 
Imelda_Staunton/pBnUi0uiM7Q_0000003 61.5 75.0 
Imelda_Staunton/pBnUi0uiM7Q_0000004 75.8 82.4 
Imelda_Staunton/pBnUi0uiM7Q_0000005 83.2 98.0 
Imelda_Staunton/pBnUi0uiM7Q_0000006 98.0 107.1 
Imelda_Staunton/pBnUi0uiM7Q_0000007 108.5 115.9 
Imelda_Staunton/pBnUi0uiM7Q_0000008 117.2 124.0 
Imelda_Staunton/pBnUi0uiM7Q_0000009 124.2 132.6 
Imelda_Staunton/pBnUi0uiM7Q_0000010 143.6 174.2 
Imelda_Staunton/pBnUi0uiM7Q_0000011 176.4 191.2 
Imelda_Staunton/pBnUi0uiM7Q_0000012 192.0 196.4 
Imelda_Staunton/pBnUi0uiM7Q_0000013 207.4 212.4 
Imelda_Staunton/pBnUi0uiM7Q_0000014 213.1 220.0 
Imelda_Staunton/pBnUi0uiM7Q_0000015 221.5 232.8 
Imelda_Staunton/pBnUi0uiM7Q_0000016 236.6 243.2 
Imelda_Staunton/pBnUi0uiM7Q_0000017 245.2 255.0 
Imelda_Staunton/pBnUi0uiM7Q_0000018 263.6 267.7 
Imelda_Staunton/pBnUi0uiM7Q_0000019 267.8 274.8 
Imelda_Staunton/pBnUi0uiM7Q_0000020 238.5 243.2 
Imelda_Staunton/pBnUi0uiM7Q_0000021 245.4 278.8 
Imelda_Staunton/pBnUi0uiM7Q_0000022 288.7 296.7 
Imelda_Staunton/pBnUi0uiM7Q_0000023 298.9 306.3 
Imelda_Staunton/pBnUi0uiM7Q_0000024 308.8 315.2 
Imelda_Staunton/pBnUi0uiM7Q_0000025 315.5 321.0 
Imelda_Staunton/pBnUi0uiM7Q_0000026 325.8 331.0 
Imelda_Staunton/pBnUi0uiM7Q_0000027 332.6 338.6 
Imelda_Staunton/pBnUi0uiM7Q_0000028 345.4 353.0 
Imelda_Staunton/pBnUi0uiM7Q_0000029 354.4 362.5 
Imelda_Staunton/pBnUi0uiM7Q_0000030 379.1 384.1 
Imelda_Staunton/pBnUi0uiM7Q_0000031 387.4 399.0 
Imelda_Staunton/pBnUi0uiM7Q_0000032 399.5 407.4 
Imelda_Staunton/pBnUi0uiM7Q_0000033 407.6 414.2 
Imelda_Staunton/pBnUi0uiM7Q_0000034 414.4 421.2 
Imelda_Staunton/pBnUi0uiM7Q_0000035 425.8 439.8 
