POI: 			Eartha_Kitt 
Youtube ID: 	GWXujl-xAVM 
Video length: 	1721.4 sec 
Set (V): 		test 
 
Eartha_Kitt/GWXujl-xAVM_0000001 128.2 139.4 
Eartha_Kitt/GWXujl-xAVM_0000002 158.9 167.3 
Eartha_Kitt/GWXujl-xAVM_0000003 173.3 181.7 
Eartha_Kitt/GWXujl-xAVM_0000004 216.8 221.0 
Eartha_Kitt/GWXujl-xAVM_0000005 224.8 229.2 
Eartha_Kitt/GWXujl-xAVM_0000006 237.3 243.3 
Eartha_Kitt/GWXujl-xAVM_0000007 249.5 254.1 
Eartha_Kitt/GWXujl-xAVM_0000008 258.7 265.9 
Eartha_Kitt/GWXujl-xAVM_0000009 273.4 280.8 
Eartha_Kitt/GWXujl-xAVM_0000010 287.0 293.6 
Eartha_Kitt/GWXujl-xAVM_0000011 329.4 336.0 
Eartha_Kitt/GWXujl-xAVM_0000012 336.6 348.8 
Eartha_Kitt/GWXujl-xAVM_0000013 354.1 364.7 
Eartha_Kitt/GWXujl-xAVM_0000014 368.5 375.9 
Eartha_Kitt/GWXujl-xAVM_0000015 383.5 388.1 
Eartha_Kitt/GWXujl-xAVM_0000016 483.2 492.7 
Eartha_Kitt/GWXujl-xAVM_0000017 494.1 506.0 
Eartha_Kitt/GWXujl-xAVM_0000018 506.7 514.2 
Eartha_Kitt/GWXujl-xAVM_0000019 519.1 525.9 
Eartha_Kitt/GWXujl-xAVM_0000020 526.8 533.0 
Eartha_Kitt/GWXujl-xAVM_0000021 577.2 582.7 
Eartha_Kitt/GWXujl-xAVM_0000022 590.6 595.5 
Eartha_Kitt/GWXujl-xAVM_0000023 602.5 607.0 
Eartha_Kitt/GWXujl-xAVM_0000024 621.6 628.1 
Eartha_Kitt/GWXujl-xAVM_0000025 628.6 634.8 
Eartha_Kitt/GWXujl-xAVM_0000026 635.7 639.7 
Eartha_Kitt/GWXujl-xAVM_0000027 640.8 656.3 
Eartha_Kitt/GWXujl-xAVM_0000028 658.7 663.1 
Eartha_Kitt/GWXujl-xAVM_0000029 694.0 700.7 
Eartha_Kitt/GWXujl-xAVM_0000030 730.1 740.1 
Eartha_Kitt/GWXujl-xAVM_0000031 742.3 747.6 
Eartha_Kitt/GWXujl-xAVM_0000032 755.6 759.6 
Eartha_Kitt/GWXujl-xAVM_0000033 772.8 780.5 
Eartha_Kitt/GWXujl-xAVM_0000034 780.8 792.7 
Eartha_Kitt/GWXujl-xAVM_0000035 828.3 832.4 
Eartha_Kitt/GWXujl-xAVM_0000036 858.0 865.2 
Eartha_Kitt/GWXujl-xAVM_0000037 870.0 884.4 
Eartha_Kitt/GWXujl-xAVM_0000038 913.4 918.7 
Eartha_Kitt/GWXujl-xAVM_0000039 933.0 940.2 
Eartha_Kitt/GWXujl-xAVM_0000040 947.8 954.6 
Eartha_Kitt/GWXujl-xAVM_0000041 1226.2 1231.5 
Eartha_Kitt/GWXujl-xAVM_0000042 1234.2 1240.9 
Eartha_Kitt/GWXujl-xAVM_0000043 1284.5 1288.9 
Eartha_Kitt/GWXujl-xAVM_0000044 1325.4 1331.8 
Eartha_Kitt/GWXujl-xAVM_0000045 1343.8 1348.6 
Eartha_Kitt/GWXujl-xAVM_0000046 1349.8 1354.4 
Eartha_Kitt/GWXujl-xAVM_0000047 1355.6 1364.0 
Eartha_Kitt/GWXujl-xAVM_0000048 1391.4 1395.6 
Eartha_Kitt/GWXujl-xAVM_0000049 1427.4 1435.7 
Eartha_Kitt/GWXujl-xAVM_0000050 1465.6 1479.2 
Eartha_Kitt/GWXujl-xAVM_0000051 1482.0 1493.3 
Eartha_Kitt/GWXujl-xAVM_0000052 1536.3 1541.2 
Eartha_Kitt/GWXujl-xAVM_0000053 1551.0 1558.0 
Eartha_Kitt/GWXujl-xAVM_0000054 1612.4 1619.5 
Eartha_Kitt/GWXujl-xAVM_0000055 1637.2 1641.2 
