POI: 			Sydney_Pollack 
Youtube ID: 	OPkeuRGj8uM 
Video length: 	1266.3 sec 
Set (V): 		dev 
 
Sydney_Pollack/OPkeuRGj8uM_0000001 70.9 77.2 
Sydney_Pollack/OPkeuRGj8uM_0000002 81.0 91.6 
Sydney_Pollack/OPkeuRGj8uM_0000003 105.2 109.2 
Sydney_Pollack/OPkeuRGj8uM_0000004 148.6 154.1 
Sydney_Pollack/OPkeuRGj8uM_0000005 328.9 335.4 
Sydney_Pollack/OPkeuRGj8uM_0000006 341.9 349.9 
Sydney_Pollack/OPkeuRGj8uM_0000007 350.7 355.6 
Sydney_Pollack/OPkeuRGj8uM_0000008 379.6 398.2 
Sydney_Pollack/OPkeuRGj8uM_0000009 403.8 408.1 
Sydney_Pollack/OPkeuRGj8uM_0000010 410.3 414.3 
Sydney_Pollack/OPkeuRGj8uM_0000011 432.6 439.8 
Sydney_Pollack/OPkeuRGj8uM_0000012 439.9 444.4 
Sydney_Pollack/OPkeuRGj8uM_0000013 449.8 454.6 
Sydney_Pollack/OPkeuRGj8uM_0000014 460.6 467.1 
Sydney_Pollack/OPkeuRGj8uM_0000015 513.7 519.2 
Sydney_Pollack/OPkeuRGj8uM_0000016 528.9 533.9 
Sydney_Pollack/OPkeuRGj8uM_0000017 553.0 557.9 
Sydney_Pollack/OPkeuRGj8uM_0000018 561.3 570.5 
Sydney_Pollack/OPkeuRGj8uM_0000019 575.5 579.6 
Sydney_Pollack/OPkeuRGj8uM_0000020 587.0 592.8 
Sydney_Pollack/OPkeuRGj8uM_0000021 618.1 622.9 
Sydney_Pollack/OPkeuRGj8uM_0000022 624.4 629.4 
Sydney_Pollack/OPkeuRGj8uM_0000023 633.8 642.4 
Sydney_Pollack/OPkeuRGj8uM_0000024 700.2 705.1 
Sydney_Pollack/OPkeuRGj8uM_0000025 709.2 717.7 
Sydney_Pollack/OPkeuRGj8uM_0000026 730.0 734.3 
Sydney_Pollack/OPkeuRGj8uM_0000027 734.8 739.2 
Sydney_Pollack/OPkeuRGj8uM_0000028 746.5 751.8 
Sydney_Pollack/OPkeuRGj8uM_0000029 823.4 829.4 
Sydney_Pollack/OPkeuRGj8uM_0000030 835.2 843.5 
Sydney_Pollack/OPkeuRGj8uM_0000031 849.0 865.4 
Sydney_Pollack/OPkeuRGj8uM_0000032 878.0 883.5 
Sydney_Pollack/OPkeuRGj8uM_0000033 891.4 898.1 
Sydney_Pollack/OPkeuRGj8uM_0000034 909.4 916.0 
Sydney_Pollack/OPkeuRGj8uM_0000035 940.9 945.7 
Sydney_Pollack/OPkeuRGj8uM_0000036 973.3 978.4 
Sydney_Pollack/OPkeuRGj8uM_0000037 979.5 983.9 
Sydney_Pollack/OPkeuRGj8uM_0000038 1023.3 1037.5 
Sydney_Pollack/OPkeuRGj8uM_0000039 1079.5 1087.6 
Sydney_Pollack/OPkeuRGj8uM_0000040 1137.8 1146.3 
Sydney_Pollack/OPkeuRGj8uM_0000041 1147.9 1153.1 
Sydney_Pollack/OPkeuRGj8uM_0000042 1162.1 1168.6 
Sydney_Pollack/OPkeuRGj8uM_0000043 1171.1 1176.6 
