POI: 			Sydney_Pollack 
Youtube ID: 	w_5IxgNGAKA 
Video length: 	1744.6 sec 
Set (V): 		dev 
 
Sydney_Pollack/w_5IxgNGAKA_0000001 267.4 285.8 
Sydney_Pollack/w_5IxgNGAKA_0000002 286.7 293.3 
Sydney_Pollack/w_5IxgNGAKA_0000003 296.0 300.3 
Sydney_Pollack/w_5IxgNGAKA_0000004 304.7 317.1 
Sydney_Pollack/w_5IxgNGAKA_0000005 318.1 322.1 
Sydney_Pollack/w_5IxgNGAKA_0000006 328.4 332.6 
Sydney_Pollack/w_5IxgNGAKA_0000007 397.3 419.4 
Sydney_Pollack/w_5IxgNGAKA_0000008 436.5 440.4 
Sydney_Pollack/w_5IxgNGAKA_0000009 452.6 461.0 
Sydney_Pollack/w_5IxgNGAKA_0000010 515.7 522.2 
Sydney_Pollack/w_5IxgNGAKA_0000011 522.3 526.7 
Sydney_Pollack/w_5IxgNGAKA_0000012 528.5 534.6 
Sydney_Pollack/w_5IxgNGAKA_0000013 542.6 554.4 
Sydney_Pollack/w_5IxgNGAKA_0000014 565.0 570.2 
Sydney_Pollack/w_5IxgNGAKA_0000015 611.6 617.5 
Sydney_Pollack/w_5IxgNGAKA_0000016 619.6 626.4 
Sydney_Pollack/w_5IxgNGAKA_0000017 636.8 650.9 
Sydney_Pollack/w_5IxgNGAKA_0000018 651.8 657.9 
Sydney_Pollack/w_5IxgNGAKA_0000019 703.7 707.7 
Sydney_Pollack/w_5IxgNGAKA_0000020 713.0 721.2 
Sydney_Pollack/w_5IxgNGAKA_0000021 732.9 743.5 
Sydney_Pollack/w_5IxgNGAKA_0000022 747.4 752.0 
Sydney_Pollack/w_5IxgNGAKA_0000023 782.6 791.2 
Sydney_Pollack/w_5IxgNGAKA_0000024 808.9 820.5 
Sydney_Pollack/w_5IxgNGAKA_0000025 820.6 837.6 
Sydney_Pollack/w_5IxgNGAKA_0000026 886.9 892.9 
Sydney_Pollack/w_5IxgNGAKA_0000027 893.6 898.3 
Sydney_Pollack/w_5IxgNGAKA_0000028 906.0 910.4 
Sydney_Pollack/w_5IxgNGAKA_0000029 913.9 922.6 
Sydney_Pollack/w_5IxgNGAKA_0000030 939.5 943.6 
Sydney_Pollack/w_5IxgNGAKA_0000031 943.8 956.1 
Sydney_Pollack/w_5IxgNGAKA_0000032 960.3 966.6 
Sydney_Pollack/w_5IxgNGAKA_0000033 983.4 989.4 
Sydney_Pollack/w_5IxgNGAKA_0000034 990.6 997.0 
Sydney_Pollack/w_5IxgNGAKA_0000035 1001.5 1006.6 
Sydney_Pollack/w_5IxgNGAKA_0000036 1047.6 1051.8 
Sydney_Pollack/w_5IxgNGAKA_0000037 1080.2 1088.0 
Sydney_Pollack/w_5IxgNGAKA_0000038 1089.0 1093.3 
Sydney_Pollack/w_5IxgNGAKA_0000039 1099.2 1112.4 
Sydney_Pollack/w_5IxgNGAKA_0000040 1117.7 1124.1 
Sydney_Pollack/w_5IxgNGAKA_0000041 1137.2 1141.2 
Sydney_Pollack/w_5IxgNGAKA_0000042 1142.2 1152.0 
Sydney_Pollack/w_5IxgNGAKA_0000043 1152.2 1159.3 
Sydney_Pollack/w_5IxgNGAKA_0000044 1160.6 1165.7 
Sydney_Pollack/w_5IxgNGAKA_0000045 1175.6 1179.8 
Sydney_Pollack/w_5IxgNGAKA_0000046 1180.8 1208.3 
Sydney_Pollack/w_5IxgNGAKA_0000047 1212.8 1223.9 
Sydney_Pollack/w_5IxgNGAKA_0000048 1236.7 1243.1 
Sydney_Pollack/w_5IxgNGAKA_0000049 1282.4 1291.8 
Sydney_Pollack/w_5IxgNGAKA_0000050 1291.8 1299.8 
Sydney_Pollack/w_5IxgNGAKA_0000051 1311.7 1315.7 
Sydney_Pollack/w_5IxgNGAKA_0000052 1315.8 1328.3 
Sydney_Pollack/w_5IxgNGAKA_0000053 1339.4 1354.4 
Sydney_Pollack/w_5IxgNGAKA_0000054 1355.0 1361.1 
Sydney_Pollack/w_5IxgNGAKA_0000055 1381.3 1385.8 
Sydney_Pollack/w_5IxgNGAKA_0000056 1389.9 1404.0 
Sydney_Pollack/w_5IxgNGAKA_0000057 1413.1 1419.4 
Sydney_Pollack/w_5IxgNGAKA_0000058 1431.8 1442.7 
Sydney_Pollack/w_5IxgNGAKA_0000059 1479.8 1488.4 
Sydney_Pollack/w_5IxgNGAKA_0000060 1502.8 1512.8 
Sydney_Pollack/w_5IxgNGAKA_0000061 1521.0 1535.9 
Sydney_Pollack/w_5IxgNGAKA_0000062 1566.3 1590.5 
Sydney_Pollack/w_5IxgNGAKA_0000063 1595.3 1602.0 
Sydney_Pollack/w_5IxgNGAKA_0000064 1623.8 1637.0 
Sydney_Pollack/w_5IxgNGAKA_0000065 1677.5 1696.7 
Sydney_Pollack/w_5IxgNGAKA_0000066 1712.7 1718.9 
