POI: 			Judy_Sheindlin 
Youtube ID: 	wvwpqbt51b4 
Video length: 	335.6 sec 
Set (V): 		dev 
 
Judy_Sheindlin/wvwpqbt51b4_0000001 11.2 20.0 
Judy_Sheindlin/wvwpqbt51b4_0000002 22.0 26.8 
Judy_Sheindlin/wvwpqbt51b4_0000003 29.6 39.7 
Judy_Sheindlin/wvwpqbt51b4_0000004 51.0 57.2 
Judy_Sheindlin/wvwpqbt51b4_0000005 58.0 63.8 
Judy_Sheindlin/wvwpqbt51b4_0000006 77.7 85.1 
Judy_Sheindlin/wvwpqbt51b4_0000007 99.6 106.2 
Judy_Sheindlin/wvwpqbt51b4_0000008 118.3 126.3 
Judy_Sheindlin/wvwpqbt51b4_0000009 128.6 133.6 
Judy_Sheindlin/wvwpqbt51b4_0000010 139.6 147.3 
Judy_Sheindlin/wvwpqbt51b4_0000011 158.5 169.5 
Judy_Sheindlin/wvwpqbt51b4_0000012 138.0 143.5 
Judy_Sheindlin/wvwpqbt51b4_0000013 170.6 177.5 
Judy_Sheindlin/wvwpqbt51b4_0000014 180.0 185.9 
Judy_Sheindlin/wvwpqbt51b4_0000015 211.4 221.0 
Judy_Sheindlin/wvwpqbt51b4_0000016 224.2 235.3 
Judy_Sheindlin/wvwpqbt51b4_0000017 179.9 186.1 
Judy_Sheindlin/wvwpqbt51b4_0000018 190.8 196.7 
Judy_Sheindlin/wvwpqbt51b4_0000019 197.3 221.0 
Judy_Sheindlin/wvwpqbt51b4_0000020 239.7 245.6 
Judy_Sheindlin/wvwpqbt51b4_0000021 257.4 266.9 
Judy_Sheindlin/wvwpqbt51b4_0000022 276.8 288.8 
Judy_Sheindlin/wvwpqbt51b4_0000023 290.3 301.6 
Judy_Sheindlin/wvwpqbt51b4_0000024 307.8 312.0 
Judy_Sheindlin/wvwpqbt51b4_0000025 248.6 254.5 
Judy_Sheindlin/wvwpqbt51b4_0000026 257.5 266.7 
Judy_Sheindlin/wvwpqbt51b4_0000027 276.6 286.0 
Judy_Sheindlin/wvwpqbt51b4_0000028 289.9 301.6 
Judy_Sheindlin/wvwpqbt51b4_0000029 307.8 318.5 
