POI: 			Judy_Sheindlin 
Youtube ID: 	_0UsUtsUj5s 
Video length: 	505.9 sec 
Set (V): 		dev 
 
Judy_Sheindlin/_0UsUtsUj5s_0000001 77.9 88.1 
Judy_Sheindlin/_0UsUtsUj5s_0000002 91.2 95.2 
Judy_Sheindlin/_0UsUtsUj5s_0000003 104.6 109.3 
Judy_Sheindlin/_0UsUtsUj5s_0000004 114.4 130.3 
Judy_Sheindlin/_0UsUtsUj5s_0000005 135.6 140.9 
Judy_Sheindlin/_0UsUtsUj5s_0000006 144.0 149.1 
Judy_Sheindlin/_0UsUtsUj5s_0000007 149.3 154.9 
Judy_Sheindlin/_0UsUtsUj5s_0000008 228.2 232.8 
Judy_Sheindlin/_0UsUtsUj5s_0000009 259.8 264.9 
Judy_Sheindlin/_0UsUtsUj5s_0000010 267.6 272.2 
Judy_Sheindlin/_0UsUtsUj5s_0000011 286.5 293.0 
Judy_Sheindlin/_0UsUtsUj5s_0000012 300.0 310.1 
Judy_Sheindlin/_0UsUtsUj5s_0000013 321.4 327.2 
Judy_Sheindlin/_0UsUtsUj5s_0000014 336.7 341.5 
Judy_Sheindlin/_0UsUtsUj5s_0000015 388.8 394.8 
Judy_Sheindlin/_0UsUtsUj5s_0000016 413.3 418.5 
Judy_Sheindlin/_0UsUtsUj5s_0000017 447.3 452.6 
Judy_Sheindlin/_0UsUtsUj5s_0000018 457.1 462.6 
