POI: 			Judy_Sheindlin 
Youtube ID: 	eHb5mpgcHsE 
Video length: 	339.3 sec 
Set (V): 		dev 
 
Judy_Sheindlin/eHb5mpgcHsE_0000001 12.1 16.8 
Judy_Sheindlin/eHb5mpgcHsE_0000002 21.8 29.4 
Judy_Sheindlin/eHb5mpgcHsE_0000003 43.0 49.0 
Judy_Sheindlin/eHb5mpgcHsE_0000004 51.2 55.4 
Judy_Sheindlin/eHb5mpgcHsE_0000005 61.0 68.9 
Judy_Sheindlin/eHb5mpgcHsE_0000006 73.5 84.4 
Judy_Sheindlin/eHb5mpgcHsE_0000007 91.7 97.6 
Judy_Sheindlin/eHb5mpgcHsE_0000008 111.2 117.5 
Judy_Sheindlin/eHb5mpgcHsE_0000009 120.6 129.0 
Judy_Sheindlin/eHb5mpgcHsE_0000010 132.7 146.6 
Judy_Sheindlin/eHb5mpgcHsE_0000011 153.4 161.3 
Judy_Sheindlin/eHb5mpgcHsE_0000012 161.6 175.4 
Judy_Sheindlin/eHb5mpgcHsE_0000013 176.0 180.6 
Judy_Sheindlin/eHb5mpgcHsE_0000014 188.8 194.5 
Judy_Sheindlin/eHb5mpgcHsE_0000015 241.7 248.8 
Judy_Sheindlin/eHb5mpgcHsE_0000016 293.7 300.4 
Judy_Sheindlin/eHb5mpgcHsE_0000017 304.5 311.9 
Judy_Sheindlin/eHb5mpgcHsE_0000018 312.4 316.4 
Judy_Sheindlin/eHb5mpgcHsE_0000019 316.6 329.7 
