POI: 			David_Mamet 
Youtube ID: 	DLQY19QumUc 
Video length: 	798.9 sec 
Set (V): 		dev 
 
David_Mamet/DLQY19QumUc_0000001 36.4 45.8 
David_Mamet/DLQY19QumUc_0000002 46.2 57.7 
David_Mamet/DLQY19QumUc_0000003 64.7 85.4 
David_Mamet/DLQY19QumUc_0000004 87.6 98.0 
David_Mamet/DLQY19QumUc_0000005 98.7 109.5 
David_Mamet/DLQY19QumUc_0000006 93.9 98.1 
David_Mamet/DLQY19QumUc_0000007 111.5 120.3 
David_Mamet/DLQY19QumUc_0000008 120.4 124.9 
David_Mamet/DLQY19QumUc_0000009 136.9 144.8 
David_Mamet/DLQY19QumUc_0000010 145.2 186.4 
David_Mamet/DLQY19QumUc_0000011 196.7 210.7 
David_Mamet/DLQY19QumUc_0000012 218.6 238.3 
David_Mamet/DLQY19QumUc_0000013 238.5 245.7 
David_Mamet/DLQY19QumUc_0000014 248.7 252.8 
David_Mamet/DLQY19QumUc_0000015 265.5 272.6 
David_Mamet/DLQY19QumUc_0000016 272.9 289.4 
David_Mamet/DLQY19QumUc_0000017 296.6 310.2 
David_Mamet/DLQY19QumUc_0000018 314.2 329.8 
David_Mamet/DLQY19QumUc_0000019 338.3 345.3 
David_Mamet/DLQY19QumUc_0000020 345.6 352.6 
David_Mamet/DLQY19QumUc_0000021 353.0 364.6 
David_Mamet/DLQY19QumUc_0000022 364.9 371.8 
David_Mamet/DLQY19QumUc_0000023 372.7 379.7 
David_Mamet/DLQY19QumUc_0000024 399.3 409.0 
David_Mamet/DLQY19QumUc_0000025 416.4 422.9 
David_Mamet/DLQY19QumUc_0000026 423.2 431.3 
David_Mamet/DLQY19QumUc_0000027 433.5 447.6 
David_Mamet/DLQY19QumUc_0000028 455.4 464.8 
David_Mamet/DLQY19QumUc_0000029 465.8 476.3 
David_Mamet/DLQY19QumUc_0000030 478.5 483.5 
David_Mamet/DLQY19QumUc_0000031 489.9 498.6 
David_Mamet/DLQY19QumUc_0000032 482.1 488.8 
David_Mamet/DLQY19QumUc_0000033 489.4 498.4 
David_Mamet/DLQY19QumUc_0000034 498.7 524.8 
David_Mamet/DLQY19QumUc_0000035 559.2 565.1 
David_Mamet/DLQY19QumUc_0000036 565.8 575.2 
David_Mamet/DLQY19QumUc_0000037 576.2 583.4 
David_Mamet/DLQY19QumUc_0000038 558.1 565.0 
David_Mamet/DLQY19QumUc_0000039 590.5 613.6 
David_Mamet/DLQY19QumUc_0000040 617.1 640.9 
David_Mamet/DLQY19QumUc_0000041 641.2 653.8 
David_Mamet/DLQY19QumUc_0000042 656.1 661.9 
David_Mamet/DLQY19QumUc_0000043 662.2 667.0 
David_Mamet/DLQY19QumUc_0000044 669.5 678.0 
David_Mamet/DLQY19QumUc_0000045 678.8 690.3 
David_Mamet/DLQY19QumUc_0000046 692.7 698.4 
David_Mamet/DLQY19QumUc_0000047 704.5 715.3 
David_Mamet/DLQY19QumUc_0000048 743.7 751.2 
David_Mamet/DLQY19QumUc_0000049 754.4 760.1 
David_Mamet/DLQY19QumUc_0000050 760.8 781.5 
David_Mamet/DLQY19QumUc_0000051 746.0 752.3 
David_Mamet/DLQY19QumUc_0000052 767.9 781.6 
