POI: 			Lou_Diamond_Phillips 
Youtube ID: 	VK0qnrgB-5o 
Video length: 	484.1 sec 
Set (V): 		dev 
 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000001 16.0 74.4 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000002 92.0 99.4 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000003 104.4 110.3 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000004 114.4 136.6 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000005 137.0 146.8 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000006 145.5 164.6 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000007 182.7 187.2 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000008 189.0 195.3 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000009 195.6 226.1 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000010 226.5 238.8 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000011 239.8 253.1 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000012 264.2 272.2 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000013 273.4 282.8 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000014 283.5 305.3 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000015 306.3 312.1 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000016 326.3 359.5 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000017 372.6 379.6 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000018 358.0 365.4 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000019 368.7 375.3 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000020 381.4 387.9 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000021 388.6 393.6 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000022 395.4 399.4 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000023 412.0 426.4 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000024 426.7 431.0 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000025 432.0 436.6 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000026 439.4 480.8 
Lou_Diamond_Phillips/VK0qnrgB-5o_0000027 470.2 481.6 
