POI: 			Lou_Diamond_Phillips 
Youtube ID: 	lePbxveE-2Q 
Video length: 	322.5 sec 
Set (V): 		dev 
 
Lou_Diamond_Phillips/lePbxveE-2Q_0000001 06.7 16.8 
Lou_Diamond_Phillips/lePbxveE-2Q_0000002 44.0 51.2 
Lou_Diamond_Phillips/lePbxveE-2Q_0000003 69.8 81.0 
Lou_Diamond_Phillips/lePbxveE-2Q_0000004 101.9 106.8 
Lou_Diamond_Phillips/lePbxveE-2Q_0000005 111.1 125.7 
Lou_Diamond_Phillips/lePbxveE-2Q_0000006 127.8 133.8 
Lou_Diamond_Phillips/lePbxveE-2Q_0000007 135.9 157.6 
Lou_Diamond_Phillips/lePbxveE-2Q_0000008 166.0 171.8 
Lou_Diamond_Phillips/lePbxveE-2Q_0000009 173.9 186.9 
Lou_Diamond_Phillips/lePbxveE-2Q_0000010 189.6 194.4 
Lou_Diamond_Phillips/lePbxveE-2Q_0000011 196.4 205.4 
Lou_Diamond_Phillips/lePbxveE-2Q_0000012 206.7 212.4 
Lou_Diamond_Phillips/lePbxveE-2Q_0000013 229.8 236.9 
Lou_Diamond_Phillips/lePbxveE-2Q_0000014 239.2 248.2 
Lou_Diamond_Phillips/lePbxveE-2Q_0000015 249.2 256.0 
Lou_Diamond_Phillips/lePbxveE-2Q_0000016 260.4 270.1 
Lou_Diamond_Phillips/lePbxveE-2Q_0000017 272.2 282.0 
Lou_Diamond_Phillips/lePbxveE-2Q_0000018 290.5 297.4 
