POI: 			John_Turturro 
Youtube ID: 	AXUSWMHVUfM 
Video length: 	1919.0 sec 
Set (V): 		dev 
 
John_Turturro/AXUSWMHVUfM_0000001 301.0 306.6 
John_Turturro/AXUSWMHVUfM_0000002 306.9 315.0 
John_Turturro/AXUSWMHVUfM_0000003 384.0 392.6 
John_Turturro/AXUSWMHVUfM_0000004 448.0 452.5 
John_Turturro/AXUSWMHVUfM_0000005 455.3 459.4 
John_Turturro/AXUSWMHVUfM_0000006 461.9 467.0 
John_Turturro/AXUSWMHVUfM_0000007 467.7 478.1 
John_Turturro/AXUSWMHVUfM_0000008 478.6 484.7 
John_Turturro/AXUSWMHVUfM_0000009 931.7 944.0 
John_Turturro/AXUSWMHVUfM_0000010 945.3 949.6 
John_Turturro/AXUSWMHVUfM_0000011 951.0 957.2 
John_Turturro/AXUSWMHVUfM_0000012 961.5 966.2 
John_Turturro/AXUSWMHVUfM_0000013 987.2 995.0 
John_Turturro/AXUSWMHVUfM_0000014 1134.8 1145.5 
John_Turturro/AXUSWMHVUfM_0000015 1163.5 1170.6 
John_Turturro/AXUSWMHVUfM_0000016 1206.6 1210.8 
John_Turturro/AXUSWMHVUfM_0000017 1536.3 1548.0 
John_Turturro/AXUSWMHVUfM_0000018 1567.0 1571.3 
John_Turturro/AXUSWMHVUfM_0000019 1614.6 1619.0 
John_Turturro/AXUSWMHVUfM_0000020 1647.0 1651.3 
John_Turturro/AXUSWMHVUfM_0000021 1682.4 1688.8 
John_Turturro/AXUSWMHVUfM_0000022 1699.1 1705.1 
John_Turturro/AXUSWMHVUfM_0000023 1706.1 1712.8 
John_Turturro/AXUSWMHVUfM_0000024 1714.3 1720.7 
John_Turturro/AXUSWMHVUfM_0000025 1700.6 1705.0 
John_Turturro/AXUSWMHVUfM_0000026 1705.8 1712.8 
John_Turturro/AXUSWMHVUfM_0000027 1740.1 1744.1 
John_Turturro/AXUSWMHVUfM_0000028 1744.6 1749.9 
