POI: 			Yvette_Nicole_Brown 
Youtube ID: 	T5DePu-p1EY 
Video length: 	413.4 sec 
Set (V): 		dev 
 
Yvette_Nicole_Brown/T5DePu-p1EY_0000001 44.7 54.4 
Yvette_Nicole_Brown/T5DePu-p1EY_0000002 55.2 61.3 
Yvette_Nicole_Brown/T5DePu-p1EY_0000003 75.9 81.1 
Yvette_Nicole_Brown/T5DePu-p1EY_0000004 81.6 89.6 
Yvette_Nicole_Brown/T5DePu-p1EY_0000005 89.7 105.6 
Yvette_Nicole_Brown/T5DePu-p1EY_0000006 131.1 136.4 
Yvette_Nicole_Brown/T5DePu-p1EY_0000007 136.5 141.1 
Yvette_Nicole_Brown/T5DePu-p1EY_0000008 148.7 159.3 
Yvette_Nicole_Brown/T5DePu-p1EY_0000009 161.5 169.6 
Yvette_Nicole_Brown/T5DePu-p1EY_0000010 174.2 181.7 
Yvette_Nicole_Brown/T5DePu-p1EY_0000011 191.2 201.4 
Yvette_Nicole_Brown/T5DePu-p1EY_0000012 201.5 211.4 
Yvette_Nicole_Brown/T5DePu-p1EY_0000013 211.8 221.0 
Yvette_Nicole_Brown/T5DePu-p1EY_0000014 224.3 239.2 
Yvette_Nicole_Brown/T5DePu-p1EY_0000015 241.6 254.4 
Yvette_Nicole_Brown/T5DePu-p1EY_0000016 260.8 267.2 
Yvette_Nicole_Brown/T5DePu-p1EY_0000017 275.3 280.0 
Yvette_Nicole_Brown/T5DePu-p1EY_0000018 282.7 295.8 
Yvette_Nicole_Brown/T5DePu-p1EY_0000019 299.7 306.4 
Yvette_Nicole_Brown/T5DePu-p1EY_0000020 307.8 313.4 
Yvette_Nicole_Brown/T5DePu-p1EY_0000021 321.4 332.9 
Yvette_Nicole_Brown/T5DePu-p1EY_0000022 336.3 345.9 
Yvette_Nicole_Brown/T5DePu-p1EY_0000023 346.6 351.8 
Yvette_Nicole_Brown/T5DePu-p1EY_0000024 363.6 369.1 
Yvette_Nicole_Brown/T5DePu-p1EY_0000025 384.0 392.3 
Yvette_Nicole_Brown/T5DePu-p1EY_0000026 394.1 398.6 
Yvette_Nicole_Brown/T5DePu-p1EY_0000027 399.0 408.7 
