POI: 			Neil_deGrasse_Tyson 
Youtube ID: 	P_Um2VdIKmA 
Video length: 	3434.0 sec 
Set (V): 		dev 
 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000001 71.4 77.5 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000002 99.6 104.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000003 108.9 113.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000004 171.8 182.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000005 222.3 227.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000006 233.1 243.7 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000007 246.7 251.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000008 278.4 289.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000009 306.3 312.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000010 331.4 336.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000011 338.0 342.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000012 366.4 373.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000013 381.6 388.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000014 392.9 400.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000015 409.7 414.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000016 416.7 425.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000017 427.0 436.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000018 454.0 459.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000019 462.7 471.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000020 471.4 478.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000021 478.4 482.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000022 486.7 492.7 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000023 493.4 497.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000024 512.3 516.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000025 535.2 539.3 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000026 551.9 556.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000027 574.9 581.5 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000028 583.9 592.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000029 607.9 612.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000030 617.3 623.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000031 694.3 699.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000032 710.4 716.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000033 727.4 737.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000034 791.2 796.7 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000035 798.2 804.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000036 806.5 816.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000037 822.6 828.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000038 832.0 838.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000039 885.1 889.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000040 894.9 909.7 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000041 914.0 921.3 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000042 926.8 937.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000043 944.2 948.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000044 1001.2 1008.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000045 1017.4 1021.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000046 1030.8 1043.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000047 1049.1 1056.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000048 1063.2 1070.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000049 1075.2 1080.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000050 1097.6 1107.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000051 1197.7 1208.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000052 1209.4 1214.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000053 1214.9 1221.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000054 1222.1 1240.5 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000055 1278.8 1284.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000056 1284.8 1296.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000057 1304.8 1311.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000058 1315.0 1328.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000059 1328.6 1337.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000060 1343.2 1353.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000061 1354.2 1361.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000062 1387.0 1392.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000063 1397.2 1401.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000064 1401.8 1423.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000065 1471.2 1477.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000066 1478.5 1483.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000067 1484.0 1500.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000068 1552.6 1557.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000069 1561.5 1566.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000070 1570.6 1576.2 
