POI: 			Neil_deGrasse_Tyson 
Youtube ID: 	qtNerEKFKgg 
Video length: 	1516.1 sec 
Set (V): 		dev 
 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000001 11.2 18.7 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000002 24.5 29.6 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000003 64.5 81.0 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000004 113.5 124.3 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000005 124.4 129.1 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000006 165.6 170.8 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000007 191.8 201.1 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000008 204.8 210.1 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000009 212.7 217.8 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000010 219.9 224.6 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000011 303.8 309.5 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000012 320.8 325.1 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000013 381.8 391.4 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000014 413.0 423.2 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000015 455.2 459.4 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000016 485.6 493.7 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000017 497.2 510.1 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000018 512.5 521.2 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000019 529.0 537.3 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000020 541.4 548.8 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000021 576.1 581.5 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000022 593.4 598.6 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000023 654.6 670.2 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000024 671.6 685.2 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000025 710.2 724.6 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000026 726.7 732.8 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000027 763.8 773.5 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000028 783.8 796.4 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000029 825.7 831.9 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000030 857.9 863.6 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000031 872.6 880.8 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000032 891.6 897.9 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000033 915.0 920.5 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000034 925.4 935.0 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000035 966.0 972.9 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000036 987.2 997.9 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000037 1007.9 1019.8 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000038 1068.8 1078.0 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000039 1080.0 1093.4 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000040 1125.4 1132.0 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000041 1140.3 1144.9 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000042 1197.6 1216.8 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000043 1237.4 1241.8 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000044 1440.4 1446.7 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000045 1474.0 1483.5 
Neil_deGrasse_Tyson/qtNerEKFKgg_0000046 1501.6 1508.5 
