POI: 			Jason_Clarke 
Youtube ID: 	H4OnuCfJ2w4 
Video length: 	324.5 sec 
Set (V): 		dev 
 
Jason_Clarke/H4OnuCfJ2w4_0000001 12.6 19.2 
Jason_Clarke/H4OnuCfJ2w4_0000002 35.7 67.6 
Jason_Clarke/H4OnuCfJ2w4_0000003 69.2 84.0 
Jason_Clarke/H4OnuCfJ2w4_0000004 87.3 93.7 
Jason_Clarke/H4OnuCfJ2w4_0000005 93.6 110.4 
Jason_Clarke/H4OnuCfJ2w4_0000006 117.0 129.7 
Jason_Clarke/H4OnuCfJ2w4_0000007 131.0 152.6 
Jason_Clarke/H4OnuCfJ2w4_0000008 152.8 161.4 
Jason_Clarke/H4OnuCfJ2w4_0000009 166.0 174.7 
Jason_Clarke/H4OnuCfJ2w4_0000010 178.1 184.4 
Jason_Clarke/H4OnuCfJ2w4_0000011 184.6 193.0 
Jason_Clarke/H4OnuCfJ2w4_0000012 193.8 201.3 
Jason_Clarke/H4OnuCfJ2w4_0000013 203.6 207.9 
Jason_Clarke/H4OnuCfJ2w4_0000014 222.9 239.9 
Jason_Clarke/H4OnuCfJ2w4_0000015 247.1 253.4 
Jason_Clarke/H4OnuCfJ2w4_0000016 256.5 268.4 
