POI: 			Jensen_Ackles 
Youtube ID: 	Fejq2JzedIQ 
Video length: 	473.9 sec 
Set (V): 		dev 
 
Jensen_Ackles/Fejq2JzedIQ_0000001 76.9 82.2 
Jensen_Ackles/Fejq2JzedIQ_0000002 91.1 102.7 
Jensen_Ackles/Fejq2JzedIQ_0000003 103.2 107.2 
Jensen_Ackles/Fejq2JzedIQ_0000004 123.7 131.2 
Jensen_Ackles/Fejq2JzedIQ_0000005 145.8 153.0 
Jensen_Ackles/Fejq2JzedIQ_0000006 153.3 159.1 
Jensen_Ackles/Fejq2JzedIQ_0000007 174.4 197.1 
Jensen_Ackles/Fejq2JzedIQ_0000008 206.9 216.2 
Jensen_Ackles/Fejq2JzedIQ_0000009 239.0 246.8 
Jensen_Ackles/Fejq2JzedIQ_0000010 283.2 296.2 
Jensen_Ackles/Fejq2JzedIQ_0000011 296.4 304.9 
Jensen_Ackles/Fejq2JzedIQ_0000012 321.2 349.8 
Jensen_Ackles/Fejq2JzedIQ_0000013 399.6 405.1 
Jensen_Ackles/Fejq2JzedIQ_0000014 405.9 419.7 
Jensen_Ackles/Fejq2JzedIQ_0000015 426.7 445.8 
Jensen_Ackles/Fejq2JzedIQ_0000016 453.8 464.2 
