POI: 			Hans_Zimmer 
Youtube ID: 	NtHTKtpuXT0 
Video length: 	1426.4 sec 
Set (V): 		dev 
 
Hans_Zimmer/NtHTKtpuXT0_0000001 07.5 15.0 
Hans_Zimmer/NtHTKtpuXT0_0000002 18.4 31.4 
Hans_Zimmer/NtHTKtpuXT0_0000003 57.9 63.6 
Hans_Zimmer/NtHTKtpuXT0_0000004 67.7 71.8 
Hans_Zimmer/NtHTKtpuXT0_0000005 75.1 79.1 
Hans_Zimmer/NtHTKtpuXT0_0000006 88.2 93.6 
Hans_Zimmer/NtHTKtpuXT0_0000007 159.0 170.8 
Hans_Zimmer/NtHTKtpuXT0_0000008 171.8 178.4 
Hans_Zimmer/NtHTKtpuXT0_0000009 183.1 189.8 
Hans_Zimmer/NtHTKtpuXT0_0000010 194.9 205.7 
Hans_Zimmer/NtHTKtpuXT0_0000011 241.0 245.2 
Hans_Zimmer/NtHTKtpuXT0_0000012 247.3 260.8 
Hans_Zimmer/NtHTKtpuXT0_0000013 262.5 266.9 
Hans_Zimmer/NtHTKtpuXT0_0000014 267.9 274.0 
Hans_Zimmer/NtHTKtpuXT0_0000015 278.1 282.8 
Hans_Zimmer/NtHTKtpuXT0_0000016 286.3 291.5 
Hans_Zimmer/NtHTKtpuXT0_0000017 291.9 296.6 
Hans_Zimmer/NtHTKtpuXT0_0000018 310.9 315.7 
Hans_Zimmer/NtHTKtpuXT0_0000019 339.4 347.0 
Hans_Zimmer/NtHTKtpuXT0_0000020 355.3 364.3 
Hans_Zimmer/NtHTKtpuXT0_0000021 370.2 376.0 
Hans_Zimmer/NtHTKtpuXT0_0000022 377.0 385.1 
Hans_Zimmer/NtHTKtpuXT0_0000023 413.2 422.6 
Hans_Zimmer/NtHTKtpuXT0_0000024 424.2 428.6 
Hans_Zimmer/NtHTKtpuXT0_0000025 460.9 465.2 
Hans_Zimmer/NtHTKtpuXT0_0000026 465.4 469.4 
