POI: 			Bruno_Ganz 
Youtube ID: 	uqA8d_lLTIE 
Video length: 	1583.4 sec 
Set (V): 		dev 
 
Bruno_Ganz/uqA8d_lLTIE_0000001 40.0 46.8 
Bruno_Ganz/uqA8d_lLTIE_0000002 56.3 62.5 
Bruno_Ganz/uqA8d_lLTIE_0000003 63.1 68.2 
Bruno_Ganz/uqA8d_lLTIE_0000004 70.5 77.7 
Bruno_Ganz/uqA8d_lLTIE_0000005 94.1 103.1 
Bruno_Ganz/uqA8d_lLTIE_0000006 108.6 114.0 
Bruno_Ganz/uqA8d_lLTIE_0000007 123.2 128.3 
Bruno_Ganz/uqA8d_lLTIE_0000008 222.2 226.7 
Bruno_Ganz/uqA8d_lLTIE_0000009 335.8 349.0 
Bruno_Ganz/uqA8d_lLTIE_0000010 376.0 380.9 
Bruno_Ganz/uqA8d_lLTIE_0000011 384.8 388.9 
Bruno_Ganz/uqA8d_lLTIE_0000012 389.7 397.3 
Bruno_Ganz/uqA8d_lLTIE_0000013 399.5 403.5 
Bruno_Ganz/uqA8d_lLTIE_0000014 408.8 412.9 
Bruno_Ganz/uqA8d_lLTIE_0000015 413.0 422.3 
Bruno_Ganz/uqA8d_lLTIE_0000016 430.2 438.2 
Bruno_Ganz/uqA8d_lLTIE_0000017 521.5 527.5 
Bruno_Ganz/uqA8d_lLTIE_0000018 527.8 533.8 
Bruno_Ganz/uqA8d_lLTIE_0000019 539.0 548.3 
Bruno_Ganz/uqA8d_lLTIE_0000020 554.1 558.8 
Bruno_Ganz/uqA8d_lLTIE_0000021 554.1 560.3 
Bruno_Ganz/uqA8d_lLTIE_0000022 599.7 604.0 
Bruno_Ganz/uqA8d_lLTIE_0000023 612.0 618.8 
Bruno_Ganz/uqA8d_lLTIE_0000024 673.9 693.8 
Bruno_Ganz/uqA8d_lLTIE_0000025 697.4 715.7 
Bruno_Ganz/uqA8d_lLTIE_0000026 716.7 721.4 
Bruno_Ganz/uqA8d_lLTIE_0000027 741.6 748.3 
Bruno_Ganz/uqA8d_lLTIE_0000028 749.8 753.7 
Bruno_Ganz/uqA8d_lLTIE_0000029 784.8 788.8 
Bruno_Ganz/uqA8d_lLTIE_0000030 789.3 793.8 
Bruno_Ganz/uqA8d_lLTIE_0000031 794.0 808.8 
Bruno_Ganz/uqA8d_lLTIE_0000032 880.3 885.0 
Bruno_Ganz/uqA8d_lLTIE_0000033 895.0 902.0 
Bruno_Ganz/uqA8d_lLTIE_0000034 903.5 913.4 
Bruno_Ganz/uqA8d_lLTIE_0000035 920.6 936.3 
Bruno_Ganz/uqA8d_lLTIE_0000036 974.8 979.9 
Bruno_Ganz/uqA8d_lLTIE_0000037 997.6 1004.7 
Bruno_Ganz/uqA8d_lLTIE_0000038 1016.9 1023.6 
Bruno_Ganz/uqA8d_lLTIE_0000039 1079.3 1084.1 
Bruno_Ganz/uqA8d_lLTIE_0000040 1093.8 1099.5 
Bruno_Ganz/uqA8d_lLTIE_0000041 1104.8 1109.6 
Bruno_Ganz/uqA8d_lLTIE_0000042 1135.2 1143.3 
Bruno_Ganz/uqA8d_lLTIE_0000043 1144.6 1149.7 
Bruno_Ganz/uqA8d_lLTIE_0000044 1204.8 1209.7 
Bruno_Ganz/uqA8d_lLTIE_0000045 1233.3 1247.8 
Bruno_Ganz/uqA8d_lLTIE_0000046 1319.5 1323.7 
Bruno_Ganz/uqA8d_lLTIE_0000047 1355.6 1360.2 
Bruno_Ganz/uqA8d_lLTIE_0000048 1360.5 1364.6 
Bruno_Ganz/uqA8d_lLTIE_0000049 1384.7 1389.4 
Bruno_Ganz/uqA8d_lLTIE_0000050 1396.2 1405.9 
Bruno_Ganz/uqA8d_lLTIE_0000051 1422.4 1428.8 
Bruno_Ganz/uqA8d_lLTIE_0000052 1428.9 1432.9 
Bruno_Ganz/uqA8d_lLTIE_0000053 1473.4 1478.6 
