POI: 			Chris_Martin 
Youtube ID: 	5097D4ZMJh4 
Video length: 	499.9 sec 
Set (V): 		dev 
 
Chris_Martin/5097D4ZMJh4_0000001 61.4 66.6 
Chris_Martin/5097D4ZMJh4_0000002 68.4 75.4 
Chris_Martin/5097D4ZMJh4_0000003 105.4 114.3 
Chris_Martin/5097D4ZMJh4_0000004 121.1 125.6 
Chris_Martin/5097D4ZMJh4_0000005 126.3 130.2 
Chris_Martin/5097D4ZMJh4_0000006 131.6 137.8 
Chris_Martin/5097D4ZMJh4_0000007 161.8 166.9 
Chris_Martin/5097D4ZMJh4_0000008 178.4 183.4 
Chris_Martin/5097D4ZMJh4_0000009 267.4 271.3 
Chris_Martin/5097D4ZMJh4_0000010 289.6 295.0 
Chris_Martin/5097D4ZMJh4_0000011 295.8 299.8 
Chris_Martin/5097D4ZMJh4_0000012 310.8 317.0 
Chris_Martin/5097D4ZMJh4_0000013 330.2 342.1 
Chris_Martin/5097D4ZMJh4_0000014 352.4 356.9 
Chris_Martin/5097D4ZMJh4_0000015 357.0 361.4 
Chris_Martin/5097D4ZMJh4_0000016 371.7 376.0 
Chris_Martin/5097D4ZMJh4_0000017 377.5 384.0 
Chris_Martin/5097D4ZMJh4_0000018 441.9 452.9 
Chris_Martin/5097D4ZMJh4_0000019 465.5 470.5 
Chris_Martin/5097D4ZMJh4_0000020 482.2 488.3 
