POI: 			James_Purefoy 
Youtube ID: 	UUpSDo9_Qi4 
Video length: 	426.3 sec 
Set (V): 		dev 
 
James_Purefoy/UUpSDo9_Qi4_0000001 28.4 33.8 
James_Purefoy/UUpSDo9_Qi4_0000002 42.6 54.0 
James_Purefoy/UUpSDo9_Qi4_0000003 59.6 63.9 
James_Purefoy/UUpSDo9_Qi4_0000004 83.1 87.4 
James_Purefoy/UUpSDo9_Qi4_0000005 87.5 103.9 
James_Purefoy/UUpSDo9_Qi4_0000006 104.3 109.6 
James_Purefoy/UUpSDo9_Qi4_0000007 116.8 121.7 
James_Purefoy/UUpSDo9_Qi4_0000008 125.7 131.0 
James_Purefoy/UUpSDo9_Qi4_0000009 131.8 143.1 
James_Purefoy/UUpSDo9_Qi4_0000010 144.2 149.7 
James_Purefoy/UUpSDo9_Qi4_0000011 153.9 160.1 
James_Purefoy/UUpSDo9_Qi4_0000012 161.0 175.6 
James_Purefoy/UUpSDo9_Qi4_0000013 205.5 216.5 
James_Purefoy/UUpSDo9_Qi4_0000014 217.3 225.0 
James_Purefoy/UUpSDo9_Qi4_0000015 225.6 243.2 
James_Purefoy/UUpSDo9_Qi4_0000016 243.7 250.0 
James_Purefoy/UUpSDo9_Qi4_0000017 265.2 270.2 
James_Purefoy/UUpSDo9_Qi4_0000018 272.9 277.1 
James_Purefoy/UUpSDo9_Qi4_0000019 280.8 295.6 
James_Purefoy/UUpSDo9_Qi4_0000020 300.4 313.1 
James_Purefoy/UUpSDo9_Qi4_0000021 325.1 333.8 
James_Purefoy/UUpSDo9_Qi4_0000022 342.7 356.8 
James_Purefoy/UUpSDo9_Qi4_0000023 362.8 370.0 
James_Purefoy/UUpSDo9_Qi4_0000024 388.5 397.3 
James_Purefoy/UUpSDo9_Qi4_0000025 397.5 404.6 
