POI: 			Kelly_Reilly 
Youtube ID: 	8-qGhz8_lAE 
Video length: 	265.4 sec 
Set (V): 		dev 
 
Kelly_Reilly/8-qGhz8_lAE_0000001 29.5 35.8 
Kelly_Reilly/8-qGhz8_lAE_0000002 38.6 43.1 
Kelly_Reilly/8-qGhz8_lAE_0000003 61.6 69.9 
Kelly_Reilly/8-qGhz8_lAE_0000004 89.0 93.4 
Kelly_Reilly/8-qGhz8_lAE_0000005 98.9 104.3 
Kelly_Reilly/8-qGhz8_lAE_0000006 105.3 112.8 
Kelly_Reilly/8-qGhz8_lAE_0000007 130.0 135.8 
Kelly_Reilly/8-qGhz8_lAE_0000008 136.6 142.0 
Kelly_Reilly/8-qGhz8_lAE_0000009 156.0 159.9 
Kelly_Reilly/8-qGhz8_lAE_0000010 160.2 168.5 
Kelly_Reilly/8-qGhz8_lAE_0000011 168.9 179.2 
Kelly_Reilly/8-qGhz8_lAE_0000012 200.1 207.0 
Kelly_Reilly/8-qGhz8_lAE_0000013 207.4 212.5 
Kelly_Reilly/8-qGhz8_lAE_0000014 212.6 216.5 
Kelly_Reilly/8-qGhz8_lAE_0000015 217.2 223.9 
Kelly_Reilly/8-qGhz8_lAE_0000016 230.2 236.1 
Kelly_Reilly/8-qGhz8_lAE_0000017 237.7 250.4 
Kelly_Reilly/8-qGhz8_lAE_0000018 202.2 206.9 
Kelly_Reilly/8-qGhz8_lAE_0000019 229.9 236.4 
