POI: 			Kelly_Reilly 
Youtube ID: 	GC0jUBtIW4U 
Video length: 	304.5 sec 
Set (V): 		dev 
 
Kelly_Reilly/GC0jUBtIW4U_0000001 09.8 29.3 
Kelly_Reilly/GC0jUBtIW4U_0000002 29.4 34.3 
Kelly_Reilly/GC0jUBtIW4U_0000003 37.7 44.7 
Kelly_Reilly/GC0jUBtIW4U_0000004 67.8 77.6 
Kelly_Reilly/GC0jUBtIW4U_0000005 84.3 90.9 
Kelly_Reilly/GC0jUBtIW4U_0000006 92.2 108.4 
Kelly_Reilly/GC0jUBtIW4U_0000007 112.2 123.5 
Kelly_Reilly/GC0jUBtIW4U_0000008 141.7 158.2 
Kelly_Reilly/GC0jUBtIW4U_0000009 158.5 162.8 
Kelly_Reilly/GC0jUBtIW4U_0000010 163.0 168.2 
Kelly_Reilly/GC0jUBtIW4U_0000011 188.7 195.0 
Kelly_Reilly/GC0jUBtIW4U_0000012 195.3 201.8 
Kelly_Reilly/GC0jUBtIW4U_0000013 202.7 213.8 
Kelly_Reilly/GC0jUBtIW4U_0000014 214.7 223.1 
Kelly_Reilly/GC0jUBtIW4U_0000015 240.2 251.4 
Kelly_Reilly/GC0jUBtIW4U_0000016 252.4 262.4 
Kelly_Reilly/GC0jUBtIW4U_0000017 267.6 271.7 
Kelly_Reilly/GC0jUBtIW4U_0000018 273.0 287.6 
Kelly_Reilly/GC0jUBtIW4U_0000019 288.6 292.5 
