POI: 			Robert_Picardo 
Youtube ID: 	sE2Ju0mmX0U 
Video length: 	2176.7 sec 
Set (V): 		dev 
 
Robert_Picardo/sE2Ju0mmX0U_0000001 136.9 144.8 
Robert_Picardo/sE2Ju0mmX0U_0000002 147.0 152.2 
Robert_Picardo/sE2Ju0mmX0U_0000003 158.7 163.7 
Robert_Picardo/sE2Ju0mmX0U_0000004 165.7 169.9 
Robert_Picardo/sE2Ju0mmX0U_0000005 172.6 182.4 
Robert_Picardo/sE2Ju0mmX0U_0000006 184.2 189.6 
Robert_Picardo/sE2Ju0mmX0U_0000007 191.4 196.4 
Robert_Picardo/sE2Ju0mmX0U_0000008 197.5 202.8 
Robert_Picardo/sE2Ju0mmX0U_0000009 207.4 211.4 
Robert_Picardo/sE2Ju0mmX0U_0000010 212.2 220.4 
Robert_Picardo/sE2Ju0mmX0U_0000011 232.6 258.2 
Robert_Picardo/sE2Ju0mmX0U_0000012 275.7 280.4 
Robert_Picardo/sE2Ju0mmX0U_0000013 286.4 293.8 
Robert_Picardo/sE2Ju0mmX0U_0000014 305.0 314.8 
Robert_Picardo/sE2Ju0mmX0U_0000015 360.2 367.2 
Robert_Picardo/sE2Ju0mmX0U_0000016 374.7 383.8 
Robert_Picardo/sE2Ju0mmX0U_0000017 387.4 396.8 
Robert_Picardo/sE2Ju0mmX0U_0000018 398.6 423.6 
Robert_Picardo/sE2Ju0mmX0U_0000019 427.1 442.8 
Robert_Picardo/sE2Ju0mmX0U_0000020 459.0 476.2 
Robert_Picardo/sE2Ju0mmX0U_0000021 482.9 487.3 
Robert_Picardo/sE2Ju0mmX0U_0000022 571.7 576.7 
Robert_Picardo/sE2Ju0mmX0U_0000023 578.1 587.4 
Robert_Picardo/sE2Ju0mmX0U_0000024 608.9 615.7 
Robert_Picardo/sE2Ju0mmX0U_0000025 627.0 632.3 
Robert_Picardo/sE2Ju0mmX0U_0000026 633.7 638.8 
Robert_Picardo/sE2Ju0mmX0U_0000027 640.0 647.3 
Robert_Picardo/sE2Ju0mmX0U_0000028 650.4 655.0 
Robert_Picardo/sE2Ju0mmX0U_0000029 656.4 661.8 
Robert_Picardo/sE2Ju0mmX0U_0000030 662.2 675.6 
Robert_Picardo/sE2Ju0mmX0U_0000031 685.0 689.3 
Robert_Picardo/sE2Ju0mmX0U_0000032 690.5 695.6 
Robert_Picardo/sE2Ju0mmX0U_0000033 717.0 726.1 
Robert_Picardo/sE2Ju0mmX0U_0000034 731.8 752.0 
Robert_Picardo/sE2Ju0mmX0U_0000035 773.6 777.8 
Robert_Picardo/sE2Ju0mmX0U_0000036 786.6 799.4 
Robert_Picardo/sE2Ju0mmX0U_0000037 800.5 808.0 
Robert_Picardo/sE2Ju0mmX0U_0000038 822.7 827.1 
Robert_Picardo/sE2Ju0mmX0U_0000039 829.4 841.8 
Robert_Picardo/sE2Ju0mmX0U_0000040 842.5 850.2 
Robert_Picardo/sE2Ju0mmX0U_0000041 856.4 861.5 
Robert_Picardo/sE2Ju0mmX0U_0000042 869.1 877.0 
Robert_Picardo/sE2Ju0mmX0U_0000043 904.3 910.0 
Robert_Picardo/sE2Ju0mmX0U_0000044 912.2 917.9 
Robert_Picardo/sE2Ju0mmX0U_0000045 935.8 941.6 
Robert_Picardo/sE2Ju0mmX0U_0000046 951.2 960.8 
Robert_Picardo/sE2Ju0mmX0U_0000047 1012.5 1024.7 
Robert_Picardo/sE2Ju0mmX0U_0000048 1025.6 1031.4 
