POI: 			Janina_Gavankar 
Youtube ID: 	2WKmEKzN7pI 
Video length: 	365.5 sec 
Set (V): 		dev 
 
Janina_Gavankar/2WKmEKzN7pI_0000001 32.9 37.4 
Janina_Gavankar/2WKmEKzN7pI_0000002 39.6 44.2 
Janina_Gavankar/2WKmEKzN7pI_0000003 87.0 93.6 
Janina_Gavankar/2WKmEKzN7pI_0000004 94.6 112.3 
Janina_Gavankar/2WKmEKzN7pI_0000005 116.0 121.2 
Janina_Gavankar/2WKmEKzN7pI_0000006 132.6 142.8 
Janina_Gavankar/2WKmEKzN7pI_0000007 143.3 147.4 
Janina_Gavankar/2WKmEKzN7pI_0000008 149.4 156.8 
Janina_Gavankar/2WKmEKzN7pI_0000009 178.8 182.8 
Janina_Gavankar/2WKmEKzN7pI_0000010 186.0 192.5 
Janina_Gavankar/2WKmEKzN7pI_0000011 195.8 202.4 
Janina_Gavankar/2WKmEKzN7pI_0000012 204.4 209.4 
Janina_Gavankar/2WKmEKzN7pI_0000013 259.4 264.0 
Janina_Gavankar/2WKmEKzN7pI_0000014 293.9 306.5 
Janina_Gavankar/2WKmEKzN7pI_0000015 312.0 316.4 
Janina_Gavankar/2WKmEKzN7pI_0000016 322.0 329.7 
Janina_Gavankar/2WKmEKzN7pI_0000017 335.1 339.1 
