POI: 			Janina_Gavankar 
Youtube ID: 	Cg8ntpOHVzw 
Video length: 	459.5 sec 
Set (V): 		dev 
 
Janina_Gavankar/Cg8ntpOHVzw_0000001 32.6 46.6 
Janina_Gavankar/Cg8ntpOHVzw_0000002 46.7 56.1 
Janina_Gavankar/Cg8ntpOHVzw_0000003 58.5 65.4 
Janina_Gavankar/Cg8ntpOHVzw_0000004 69.2 74.6 
Janina_Gavankar/Cg8ntpOHVzw_0000005 77.1 88.4 
Janina_Gavankar/Cg8ntpOHVzw_0000006 95.6 129.1 
Janina_Gavankar/Cg8ntpOHVzw_0000007 145.0 151.8 
Janina_Gavankar/Cg8ntpOHVzw_0000008 156.7 178.2 
Janina_Gavankar/Cg8ntpOHVzw_0000009 180.0 192.6 
Janina_Gavankar/Cg8ntpOHVzw_0000010 201.4 213.2 
Janina_Gavankar/Cg8ntpOHVzw_0000011 215.0 223.7 
Janina_Gavankar/Cg8ntpOHVzw_0000012 234.4 242.4 
Janina_Gavankar/Cg8ntpOHVzw_0000013 244.2 250.4 
Janina_Gavankar/Cg8ntpOHVzw_0000014 251.2 261.4 
Janina_Gavankar/Cg8ntpOHVzw_0000015 265.6 291.5 
Janina_Gavankar/Cg8ntpOHVzw_0000016 324.3 333.4 
Janina_Gavankar/Cg8ntpOHVzw_0000017 340.4 347.2 
Janina_Gavankar/Cg8ntpOHVzw_0000018 349.0 382.7 
Janina_Gavankar/Cg8ntpOHVzw_0000019 399.0 403.4 
Janina_Gavankar/Cg8ntpOHVzw_0000020 406.3 413.3 
Janina_Gavankar/Cg8ntpOHVzw_0000021 413.8 419.6 
Janina_Gavankar/Cg8ntpOHVzw_0000022 428.0 441.7 
Janina_Gavankar/Cg8ntpOHVzw_0000023 443.6 448.7 
