POI: 			Wim_Wenders 
Youtube ID: 	Yysv1uvZCEc 
Video length: 	2788.7 sec 
Set (V): 		dev 
 
Wim_Wenders/Yysv1uvZCEc_0000001 202.1 206.8 
Wim_Wenders/Yysv1uvZCEc_0000002 227.4 232.2 
Wim_Wenders/Yysv1uvZCEc_0000003 263.5 267.9 
Wim_Wenders/Yysv1uvZCEc_0000004 299.8 304.2 
Wim_Wenders/Yysv1uvZCEc_0000005 323.0 330.7 
Wim_Wenders/Yysv1uvZCEc_0000006 336.9 343.2 
Wim_Wenders/Yysv1uvZCEc_0000007 367.6 372.6 
Wim_Wenders/Yysv1uvZCEc_0000008 375.3 380.1 
Wim_Wenders/Yysv1uvZCEc_0000009 422.2 428.3 
Wim_Wenders/Yysv1uvZCEc_0000010 430.3 435.7 
Wim_Wenders/Yysv1uvZCEc_0000011 444.8 449.6 
Wim_Wenders/Yysv1uvZCEc_0000012 502.4 507.8 
Wim_Wenders/Yysv1uvZCEc_0000013 554.2 562.2 
Wim_Wenders/Yysv1uvZCEc_0000014 563.0 571.6 
Wim_Wenders/Yysv1uvZCEc_0000015 579.8 583.8 
Wim_Wenders/Yysv1uvZCEc_0000016 697.8 702.8 
Wim_Wenders/Yysv1uvZCEc_0000017 717.9 724.9 
Wim_Wenders/Yysv1uvZCEc_0000018 730.3 734.4 
Wim_Wenders/Yysv1uvZCEc_0000019 736.0 742.9 
Wim_Wenders/Yysv1uvZCEc_0000020 758.1 763.8 
Wim_Wenders/Yysv1uvZCEc_0000021 766.3 772.3 
Wim_Wenders/Yysv1uvZCEc_0000022 795.2 801.2 
Wim_Wenders/Yysv1uvZCEc_0000023 942.5 951.4 
Wim_Wenders/Yysv1uvZCEc_0000024 955.4 960.3 
Wim_Wenders/Yysv1uvZCEc_0000025 971.6 978.5 
Wim_Wenders/Yysv1uvZCEc_0000026 1002.6 1006.9 
Wim_Wenders/Yysv1uvZCEc_0000027 1008.5 1014.5 
Wim_Wenders/Yysv1uvZCEc_0000028 1039.4 1044.8 
Wim_Wenders/Yysv1uvZCEc_0000029 1052.7 1059.8 
Wim_Wenders/Yysv1uvZCEc_0000030 1101.7 1107.8 
Wim_Wenders/Yysv1uvZCEc_0000031 1108.7 1114.7 
Wim_Wenders/Yysv1uvZCEc_0000032 1116.0 1123.0 
Wim_Wenders/Yysv1uvZCEc_0000033 1126.7 1132.1 
Wim_Wenders/Yysv1uvZCEc_0000034 1132.8 1153.1 
Wim_Wenders/Yysv1uvZCEc_0000035 1159.1 1169.7 
Wim_Wenders/Yysv1uvZCEc_0000036 1245.3 1251.2 
Wim_Wenders/Yysv1uvZCEc_0000037 1263.7 1269.4 
Wim_Wenders/Yysv1uvZCEc_0000038 1295.0 1304.5 
Wim_Wenders/Yysv1uvZCEc_0000039 1320.9 1326.6 
Wim_Wenders/Yysv1uvZCEc_0000040 1336.3 1342.4 
Wim_Wenders/Yysv1uvZCEc_0000041 1344.2 1353.7 
Wim_Wenders/Yysv1uvZCEc_0000042 1361.8 1366.2 
Wim_Wenders/Yysv1uvZCEc_0000043 1508.7 1514.9 
Wim_Wenders/Yysv1uvZCEc_0000044 1541.7 1547.2 
Wim_Wenders/Yysv1uvZCEc_0000045 1552.2 1564.2 
Wim_Wenders/Yysv1uvZCEc_0000046 1586.0 1591.3 
Wim_Wenders/Yysv1uvZCEc_0000047 1601.1 1607.3 
Wim_Wenders/Yysv1uvZCEc_0000048 1615.6 1624.2 
Wim_Wenders/Yysv1uvZCEc_0000049 1718.8 1723.3 
Wim_Wenders/Yysv1uvZCEc_0000050 1759.0 1763.8 
Wim_Wenders/Yysv1uvZCEc_0000051 1771.6 1775.6 
Wim_Wenders/Yysv1uvZCEc_0000052 1806.2 1812.2 
Wim_Wenders/Yysv1uvZCEc_0000053 1829.8 1834.2 
Wim_Wenders/Yysv1uvZCEc_0000054 1835.8 1839.8 
Wim_Wenders/Yysv1uvZCEc_0000055 1840.1 1844.2 
Wim_Wenders/Yysv1uvZCEc_0000056 1923.0 1928.8 
Wim_Wenders/Yysv1uvZCEc_0000057 1947.0 1952.6 
Wim_Wenders/Yysv1uvZCEc_0000058 1958.6 1963.0 
Wim_Wenders/Yysv1uvZCEc_0000059 1976.4 1980.3 
Wim_Wenders/Yysv1uvZCEc_0000060 1980.9 1985.7 
Wim_Wenders/Yysv1uvZCEc_0000061 2146.4 2152.4 
Wim_Wenders/Yysv1uvZCEc_0000062 2154.5 2158.9 
Wim_Wenders/Yysv1uvZCEc_0000063 2159.8 2166.3 
Wim_Wenders/Yysv1uvZCEc_0000064 2169.9 2177.1 
Wim_Wenders/Yysv1uvZCEc_0000065 2263.8 2269.3 
Wim_Wenders/Yysv1uvZCEc_0000066 2295.4 2299.5 
Wim_Wenders/Yysv1uvZCEc_0000067 2611.5 2616.0 
Wim_Wenders/Yysv1uvZCEc_0000068 2627.9 2633.3 
Wim_Wenders/Yysv1uvZCEc_0000069 2662.9 2667.1 
Wim_Wenders/Yysv1uvZCEc_0000070 2709.4 2714.7 
Wim_Wenders/Yysv1uvZCEc_0000071 2719.7 2725.2 
Wim_Wenders/Yysv1uvZCEc_0000072 2736.2 2742.1 
Wim_Wenders/Yysv1uvZCEc_0000073 2745.8 2751.0 
Wim_Wenders/Yysv1uvZCEc_0000074 2759.8 2764.7 
Wim_Wenders/Yysv1uvZCEc_0000075 2765.0 2772.0 
