POI: 			January_Jones 
Youtube ID: 	CA27ZHZ56Ts 
Video length: 	467.3 sec 
Set (V): 		dev 
 
January_Jones/CA27ZHZ56Ts_0000001 33.3 37.6 
January_Jones/CA27ZHZ56Ts_0000002 108.4 119.4 
January_Jones/CA27ZHZ56Ts_0000003 125.2 143.6 
January_Jones/CA27ZHZ56Ts_0000004 145.8 154.4 
January_Jones/CA27ZHZ56Ts_0000005 156.8 168.0 
January_Jones/CA27ZHZ56Ts_0000006 203.4 209.5 
January_Jones/CA27ZHZ56Ts_0000007 214.6 222.5 
January_Jones/CA27ZHZ56Ts_0000008 245.9 250.4 
January_Jones/CA27ZHZ56Ts_0000009 278.2 283.5 
January_Jones/CA27ZHZ56Ts_0000010 284.8 289.6 
January_Jones/CA27ZHZ56Ts_0000011 284.8 288.8 
January_Jones/CA27ZHZ56Ts_0000012 301.0 309.4 
January_Jones/CA27ZHZ56Ts_0000013 315.0 319.1 
January_Jones/CA27ZHZ56Ts_0000014 327.4 331.9 
January_Jones/CA27ZHZ56Ts_0000015 347.2 356.2 
January_Jones/CA27ZHZ56Ts_0000016 357.7 364.0 
January_Jones/CA27ZHZ56Ts_0000017 364.6 369.1 
January_Jones/CA27ZHZ56Ts_0000018 380.1 387.9 
