POI: 			Janine_Turner 
Youtube ID: 	NYngZJk0tLc 
Video length: 	431.1 sec 
Set (V): 		dev 
 
Janine_Turner/NYngZJk0tLc_0000001 74.6 78.5 
Janine_Turner/NYngZJk0tLc_0000002 93.9 97.9 
Janine_Turner/NYngZJk0tLc_0000003 112.4 129.9 
Janine_Turner/NYngZJk0tLc_0000004 162.0 167.5 
Janine_Turner/NYngZJk0tLc_0000005 181.9 195.9 
Janine_Turner/NYngZJk0tLc_0000006 219.1 226.7 
Janine_Turner/NYngZJk0tLc_0000007 234.1 239.2 
Janine_Turner/NYngZJk0tLc_0000008 259.1 264.8 
Janine_Turner/NYngZJk0tLc_0000009 266.7 271.3 
Janine_Turner/NYngZJk0tLc_0000010 279.4 291.6 
Janine_Turner/NYngZJk0tLc_0000011 313.4 324.3 
Janine_Turner/NYngZJk0tLc_0000012 327.4 333.0 
Janine_Turner/NYngZJk0tLc_0000013 336.7 341.7 
Janine_Turner/NYngZJk0tLc_0000014 344.1 349.0 
Janine_Turner/NYngZJk0tLc_0000015 374.6 378.7 
Janine_Turner/NYngZJk0tLc_0000016 379.8 388.1 
Janine_Turner/NYngZJk0tLc_0000017 395.2 402.4 
