POI: 			Zachary_Levi 
Youtube ID: 	TkxpRYOSdjg 
Video length: 	602.3 sec 
Set (V): 		dev 
 
Zachary_Levi/TkxpRYOSdjg_0000001 27.1 34.4 
Zachary_Levi/TkxpRYOSdjg_0000002 49.4 59.4 
Zachary_Levi/TkxpRYOSdjg_0000003 60.8 70.2 
Zachary_Levi/TkxpRYOSdjg_0000004 80.3 87.2 
Zachary_Levi/TkxpRYOSdjg_0000005 87.2 106.5 
Zachary_Levi/TkxpRYOSdjg_0000006 118.1 123.6 
Zachary_Levi/TkxpRYOSdjg_0000007 134.1 144.7 
Zachary_Levi/TkxpRYOSdjg_0000008 144.8 156.2 
Zachary_Levi/TkxpRYOSdjg_0000009 161.4 173.7 
Zachary_Levi/TkxpRYOSdjg_0000010 175.6 182.8 
Zachary_Levi/TkxpRYOSdjg_0000011 191.2 198.4 
Zachary_Levi/TkxpRYOSdjg_0000012 217.1 226.3 
Zachary_Levi/TkxpRYOSdjg_0000013 239.9 253.2 
Zachary_Levi/TkxpRYOSdjg_0000014 257.9 263.4 
Zachary_Levi/TkxpRYOSdjg_0000015 263.9 270.5 
Zachary_Levi/TkxpRYOSdjg_0000016 279.7 287.8 
Zachary_Levi/TkxpRYOSdjg_0000017 292.4 305.2 
Zachary_Levi/TkxpRYOSdjg_0000018 309.0 317.5 
Zachary_Levi/TkxpRYOSdjg_0000019 339.8 345.8 
Zachary_Levi/TkxpRYOSdjg_0000020 363.7 370.7 
Zachary_Levi/TkxpRYOSdjg_0000021 371.4 381.8 
Zachary_Levi/TkxpRYOSdjg_0000022 385.4 394.8 
Zachary_Levi/TkxpRYOSdjg_0000023 400.5 410.3 
Zachary_Levi/TkxpRYOSdjg_0000024 410.5 417.3 
Zachary_Levi/TkxpRYOSdjg_0000025 417.7 423.6 
Zachary_Levi/TkxpRYOSdjg_0000026 431.4 444.9 
Zachary_Levi/TkxpRYOSdjg_0000027 445.2 456.5 
Zachary_Levi/TkxpRYOSdjg_0000028 460.0 484.0 
Zachary_Levi/TkxpRYOSdjg_0000029 492.4 503.0 
Zachary_Levi/TkxpRYOSdjg_0000030 511.6 516.5 
Zachary_Levi/TkxpRYOSdjg_0000031 540.5 546.9 
Zachary_Levi/TkxpRYOSdjg_0000032 550.7 560.5 
Zachary_Levi/TkxpRYOSdjg_0000033 563.5 578.5 
Zachary_Levi/TkxpRYOSdjg_0000034 580.7 586.8 
