POI: 			Dylan_McDermott 
Youtube ID: 	_k-FScI0YUE 
Video length: 	652.7 sec 
Set (V): 		dev 
 
Dylan_McDermott/_k-FScI0YUE_0000001 163.2 168.8 
Dylan_McDermott/_k-FScI0YUE_0000002 169.4 186.8 
Dylan_McDermott/_k-FScI0YUE_0000003 198.2 206.5 
Dylan_McDermott/_k-FScI0YUE_0000004 214.7 223.2 
Dylan_McDermott/_k-FScI0YUE_0000005 223.6 229.1 
Dylan_McDermott/_k-FScI0YUE_0000006 229.6 238.4 
Dylan_McDermott/_k-FScI0YUE_0000007 241.8 248.3 
Dylan_McDermott/_k-FScI0YUE_0000008 250.1 260.5 
Dylan_McDermott/_k-FScI0YUE_0000009 270.6 277.8 
Dylan_McDermott/_k-FScI0YUE_0000010 289.1 327.2 
Dylan_McDermott/_k-FScI0YUE_0000011 334.3 339.3 
Dylan_McDermott/_k-FScI0YUE_0000012 370.6 375.2 
Dylan_McDermott/_k-FScI0YUE_0000013 376.4 380.3 
Dylan_McDermott/_k-FScI0YUE_0000014 382.0 388.0 
Dylan_McDermott/_k-FScI0YUE_0000015 389.0 395.4 
Dylan_McDermott/_k-FScI0YUE_0000016 400.5 409.0 
Dylan_McDermott/_k-FScI0YUE_0000017 421.6 425.7 
Dylan_McDermott/_k-FScI0YUE_0000018 428.3 446.7 
Dylan_McDermott/_k-FScI0YUE_0000019 488.5 498.8 
Dylan_McDermott/_k-FScI0YUE_0000020 500.8 506.6 
Dylan_McDermott/_k-FScI0YUE_0000021 525.5 529.5 
Dylan_McDermott/_k-FScI0YUE_0000022 536.5 540.8 
Dylan_McDermott/_k-FScI0YUE_0000023 541.4 549.1 
Dylan_McDermott/_k-FScI0YUE_0000024 578.3 583.2 
Dylan_McDermott/_k-FScI0YUE_0000025 584.4 590.1 
Dylan_McDermott/_k-FScI0YUE_0000026 591.1 597.0 
