POI: 			J.J._Abrams 
Youtube ID: 	5bE7zSyjNSs 
Video length: 	1970.2 sec 
Set (V): 		dev 
 
J.J._Abrams/5bE7zSyjNSs_0000001 56.2 61.6 
J.J._Abrams/5bE7zSyjNSs_0000002 68.8 89.5 
J.J._Abrams/5bE7zSyjNSs_0000003 90.5 102.1 
J.J._Abrams/5bE7zSyjNSs_0000004 127.8 144.5 
J.J._Abrams/5bE7zSyjNSs_0000005 148.0 161.6 
J.J._Abrams/5bE7zSyjNSs_0000006 177.7 191.2 
J.J._Abrams/5bE7zSyjNSs_0000007 193.0 199.8 
J.J._Abrams/5bE7zSyjNSs_0000008 203.4 218.1 
J.J._Abrams/5bE7zSyjNSs_0000009 237.7 247.9 
J.J._Abrams/5bE7zSyjNSs_0000010 270.1 296.6 
J.J._Abrams/5bE7zSyjNSs_0000011 300.8 304.9 
J.J._Abrams/5bE7zSyjNSs_0000012 319.1 343.0 
J.J._Abrams/5bE7zSyjNSs_0000013 354.3 361.7 
J.J._Abrams/5bE7zSyjNSs_0000014 379.4 393.8 
J.J._Abrams/5bE7zSyjNSs_0000015 414.2 422.5 
J.J._Abrams/5bE7zSyjNSs_0000016 423.1 432.4 
J.J._Abrams/5bE7zSyjNSs_0000017 437.2 441.3 
J.J._Abrams/5bE7zSyjNSs_0000018 442.0 446.9 
J.J._Abrams/5bE7zSyjNSs_0000019 472.8 479.7 
J.J._Abrams/5bE7zSyjNSs_0000020 482.3 489.2 
J.J._Abrams/5bE7zSyjNSs_0000021 505.3 514.6 
J.J._Abrams/5bE7zSyjNSs_0000022 516.6 530.1 
J.J._Abrams/5bE7zSyjNSs_0000023 530.7 537.4 
J.J._Abrams/5bE7zSyjNSs_0000024 557.5 576.2 
J.J._Abrams/5bE7zSyjNSs_0000025 581.9 586.7 
J.J._Abrams/5bE7zSyjNSs_0000026 588.6 593.2 
J.J._Abrams/5bE7zSyjNSs_0000027 611.1 617.6 
J.J._Abrams/5bE7zSyjNSs_0000028 634.2 641.0 
J.J._Abrams/5bE7zSyjNSs_0000029 644.0 650.0 
J.J._Abrams/5bE7zSyjNSs_0000030 650.6 658.7 
J.J._Abrams/5bE7zSyjNSs_0000031 667.6 675.1 
J.J._Abrams/5bE7zSyjNSs_0000032 704.3 711.3 
J.J._Abrams/5bE7zSyjNSs_0000033 712.2 719.5 
J.J._Abrams/5bE7zSyjNSs_0000034 722.0 740.5 
J.J._Abrams/5bE7zSyjNSs_0000035 768.9 772.9 
J.J._Abrams/5bE7zSyjNSs_0000036 776.7 792.6 
J.J._Abrams/5bE7zSyjNSs_0000037 793.1 800.4 
J.J._Abrams/5bE7zSyjNSs_0000038 804.4 810.9 
J.J._Abrams/5bE7zSyjNSs_0000039 813.4 818.9 
J.J._Abrams/5bE7zSyjNSs_0000040 819.8 823.8 
J.J._Abrams/5bE7zSyjNSs_0000041 828.6 832.8 
J.J._Abrams/5bE7zSyjNSs_0000042 842.6 847.7 
J.J._Abrams/5bE7zSyjNSs_0000043 848.4 854.8 
J.J._Abrams/5bE7zSyjNSs_0000044 882.4 886.8 
J.J._Abrams/5bE7zSyjNSs_0000045 899.2 903.6 
J.J._Abrams/5bE7zSyjNSs_0000046 905.0 909.8 
J.J._Abrams/5bE7zSyjNSs_0000047 910.7 915.8 
J.J._Abrams/5bE7zSyjNSs_0000048 954.8 969.6 
J.J._Abrams/5bE7zSyjNSs_0000049 993.5 1018.5 
J.J._Abrams/5bE7zSyjNSs_0000050 1020.5 1026.5 
J.J._Abrams/5bE7zSyjNSs_0000051 1038.2 1046.2 
J.J._Abrams/5bE7zSyjNSs_0000052 1046.6 1053.1 
J.J._Abrams/5bE7zSyjNSs_0000053 1062.7 1087.4 
J.J._Abrams/5bE7zSyjNSs_0000054 1116.0 1133.8 
J.J._Abrams/5bE7zSyjNSs_0000055 1134.8 1145.9 
J.J._Abrams/5bE7zSyjNSs_0000056 1148.2 1152.2 
J.J._Abrams/5bE7zSyjNSs_0000057 1170.0 1182.6 
J.J._Abrams/5bE7zSyjNSs_0000058 1186.5 1191.0 
J.J._Abrams/5bE7zSyjNSs_0000059 1191.4 1198.0 
J.J._Abrams/5bE7zSyjNSs_0000060 1198.3 1208.8 
J.J._Abrams/5bE7zSyjNSs_0000061 1215.2 1230.3 
