POI: 			J.J._Abrams 
Youtube ID: 	Adpb9Dn0PoM 
Video length: 	2454.9 sec 
Set (V): 		dev 
 
J.J._Abrams/Adpb9Dn0PoM_0000001 63.0 67.1 
J.J._Abrams/Adpb9Dn0PoM_0000002 70.4 84.2 
J.J._Abrams/Adpb9Dn0PoM_0000003 84.5 90.4 
J.J._Abrams/Adpb9Dn0PoM_0000004 107.4 113.2 
J.J._Abrams/Adpb9Dn0PoM_0000005 116.7 123.3 
J.J._Abrams/Adpb9Dn0PoM_0000006 127.6 131.6 
J.J._Abrams/Adpb9Dn0PoM_0000007 137.3 147.4 
J.J._Abrams/Adpb9Dn0PoM_0000008 330.0 334.2 
J.J._Abrams/Adpb9Dn0PoM_0000009 334.5 344.8 
J.J._Abrams/Adpb9Dn0PoM_0000010 362.6 372.7 
J.J._Abrams/Adpb9Dn0PoM_0000011 412.6 416.8 
J.J._Abrams/Adpb9Dn0PoM_0000012 421.4 426.6 
J.J._Abrams/Adpb9Dn0PoM_0000013 431.6 435.8 
J.J._Abrams/Adpb9Dn0PoM_0000014 442.3 451.0 
J.J._Abrams/Adpb9Dn0PoM_0000015 453.1 458.8 
J.J._Abrams/Adpb9Dn0PoM_0000016 463.8 473.2 
J.J._Abrams/Adpb9Dn0PoM_0000017 675.4 684.1 
J.J._Abrams/Adpb9Dn0PoM_0000018 685.2 689.9 
J.J._Abrams/Adpb9Dn0PoM_0000019 698.6 705.1 
J.J._Abrams/Adpb9Dn0PoM_0000020 742.7 751.5 
J.J._Abrams/Adpb9Dn0PoM_0000021 848.8 880.5 
J.J._Abrams/Adpb9Dn0PoM_0000022 884.2 904.8 
J.J._Abrams/Adpb9Dn0PoM_0000023 911.0 915.4 
J.J._Abrams/Adpb9Dn0PoM_0000024 921.4 935.6 
J.J._Abrams/Adpb9Dn0PoM_0000025 1037.4 1047.4 
J.J._Abrams/Adpb9Dn0PoM_0000026 1282.4 1289.3 
J.J._Abrams/Adpb9Dn0PoM_0000027 1330.3 1347.0 
J.J._Abrams/Adpb9Dn0PoM_0000028 1349.8 1359.3 
J.J._Abrams/Adpb9Dn0PoM_0000029 1361.3 1370.0 
J.J._Abrams/Adpb9Dn0PoM_0000030 1375.7 1394.6 
J.J._Abrams/Adpb9Dn0PoM_0000031 1396.4 1406.1 
J.J._Abrams/Adpb9Dn0PoM_0000032 1575.1 1579.1 
J.J._Abrams/Adpb9Dn0PoM_0000033 1582.2 1587.2 
J.J._Abrams/Adpb9Dn0PoM_0000034 1587.9 1592.7 
J.J._Abrams/Adpb9Dn0PoM_0000035 1597.1 1601.6 
J.J._Abrams/Adpb9Dn0PoM_0000036 1604.8 1618.8 
J.J._Abrams/Adpb9Dn0PoM_0000037 1628.7 1635.4 
J.J._Abrams/Adpb9Dn0PoM_0000038 1641.6 1656.6 
J.J._Abrams/Adpb9Dn0PoM_0000039 1659.0 1668.8 
J.J._Abrams/Adpb9Dn0PoM_0000040 1677.2 1683.2 
J.J._Abrams/Adpb9Dn0PoM_0000041 1685.7 1698.6 
J.J._Abrams/Adpb9Dn0PoM_0000042 1701.6 1707.4 
J.J._Abrams/Adpb9Dn0PoM_0000043 1725.0 1734.4 
J.J._Abrams/Adpb9Dn0PoM_0000044 1749.2 1757.3 
J.J._Abrams/Adpb9Dn0PoM_0000045 1759.2 1780.8 
J.J._Abrams/Adpb9Dn0PoM_0000046 1783.9 1790.0 
J.J._Abrams/Adpb9Dn0PoM_0000047 1806.0 1812.4 
J.J._Abrams/Adpb9Dn0PoM_0000048 1813.0 1822.1 
J.J._Abrams/Adpb9Dn0PoM_0000049 1885.4 1894.2 
J.J._Abrams/Adpb9Dn0PoM_0000050 2031.8 2036.8 
J.J._Abrams/Adpb9Dn0PoM_0000051 2044.6 2048.6 
J.J._Abrams/Adpb9Dn0PoM_0000052 2051.1 2060.2 
J.J._Abrams/Adpb9Dn0PoM_0000053 2067.9 2093.6 
J.J._Abrams/Adpb9Dn0PoM_0000054 2155.4 2159.5 
J.J._Abrams/Adpb9Dn0PoM_0000055 2160.5 2169.2 
J.J._Abrams/Adpb9Dn0PoM_0000056 2170.5 2176.6 
J.J._Abrams/Adpb9Dn0PoM_0000057 2188.0 2205.6 
J.J._Abrams/Adpb9Dn0PoM_0000058 2207.3 2211.6 
J.J._Abrams/Adpb9Dn0PoM_0000059 2217.8 2225.6 
J.J._Abrams/Adpb9Dn0PoM_0000060 2228.5 2234.5 
J.J._Abrams/Adpb9Dn0PoM_0000061 2237.4 2241.4 
J.J._Abrams/Adpb9Dn0PoM_0000062 2266.2 2278.6 
J.J._Abrams/Adpb9Dn0PoM_0000063 2330.2 2340.0 
J.J._Abrams/Adpb9Dn0PoM_0000064 2367.1 2374.6 
J.J._Abrams/Adpb9Dn0PoM_0000065 2380.7 2390.2 
J.J._Abrams/Adpb9Dn0PoM_0000066 2391.9 2398.2 
J.J._Abrams/Adpb9Dn0PoM_0000067 2404.0 2411.6 
J.J._Abrams/Adpb9Dn0PoM_0000068 2408.4 2419.6 
J.J._Abrams/Adpb9Dn0PoM_0000069 2420.1 2435.0 
