POI: 			Tristan_Wilds 
Youtube ID: 	cyV9KCZP634 
Video length: 	368.9 sec 
Set (V): 		dev 
 
Tristan_Wilds/cyV9KCZP634_0000001 26.5 32.8 
Tristan_Wilds/cyV9KCZP634_0000002 32.9 38.9 
Tristan_Wilds/cyV9KCZP634_0000003 25.2 29.6 
Tristan_Wilds/cyV9KCZP634_0000004 50.7 56.6 
Tristan_Wilds/cyV9KCZP634_0000005 128.2 132.3 
Tristan_Wilds/cyV9KCZP634_0000006 146.4 151.4 
Tristan_Wilds/cyV9KCZP634_0000007 176.3 181.4 
Tristan_Wilds/cyV9KCZP634_0000008 188.2 193.6 
Tristan_Wilds/cyV9KCZP634_0000009 198.7 205.8 
Tristan_Wilds/cyV9KCZP634_0000010 218.5 224.6 
Tristan_Wilds/cyV9KCZP634_0000011 225.3 231.4 
Tristan_Wilds/cyV9KCZP634_0000012 259.0 264.7 
Tristan_Wilds/cyV9KCZP634_0000013 265.4 269.6 
Tristan_Wilds/cyV9KCZP634_0000014 322.6 329.8 
Tristan_Wilds/cyV9KCZP634_0000015 333.6 339.6 
Tristan_Wilds/cyV9KCZP634_0000016 333.6 339.6 
