POI: 			Tahmoh_Penikett 
Youtube ID: 	ueTaWV86Ldg 
Video length: 	256.2 sec 
Set (V): 		dev 
 
Tahmoh_Penikett/ueTaWV86Ldg_0000001 15.6 22.8 
Tahmoh_Penikett/ueTaWV86Ldg_0000002 32.2 39.4 
Tahmoh_Penikett/ueTaWV86Ldg_0000003 59.8 66.5 
Tahmoh_Penikett/ueTaWV86Ldg_0000004 67.6 76.2 
Tahmoh_Penikett/ueTaWV86Ldg_0000005 81.5 91.1 
Tahmoh_Penikett/ueTaWV86Ldg_0000006 91.4 101.0 
Tahmoh_Penikett/ueTaWV86Ldg_0000007 110.7 117.7 
Tahmoh_Penikett/ueTaWV86Ldg_0000008 118.8 122.8 
Tahmoh_Penikett/ueTaWV86Ldg_0000009 124.0 131.9 
Tahmoh_Penikett/ueTaWV86Ldg_0000010 132.7 137.6 
Tahmoh_Penikett/ueTaWV86Ldg_0000011 85.0 105.6 
Tahmoh_Penikett/ueTaWV86Ldg_0000012 161.6 171.0 
Tahmoh_Penikett/ueTaWV86Ldg_0000013 173.2 197.0 
Tahmoh_Penikett/ueTaWV86Ldg_0000014 197.0 206.6 
Tahmoh_Penikett/ueTaWV86Ldg_0000015 208.2 213.4 
Tahmoh_Penikett/ueTaWV86Ldg_0000016 233.5 244.9 
