POI: 			Tahmoh_Penikett 
Youtube ID: 	wgoAh9ji-Ps 
Video length: 	346.9 sec 
Set (V): 		dev 
 
Tahmoh_Penikett/wgoAh9ji-Ps_0000001 14.2 18.8 
Tahmoh_Penikett/wgoAh9ji-Ps_0000002 22.1 32.7 
Tahmoh_Penikett/wgoAh9ji-Ps_0000003 40.9 54.2 
Tahmoh_Penikett/wgoAh9ji-Ps_0000004 61.0 74.1 
Tahmoh_Penikett/wgoAh9ji-Ps_0000005 78.1 90.5 
Tahmoh_Penikett/wgoAh9ji-Ps_0000006 100.5 107.1 
Tahmoh_Penikett/wgoAh9ji-Ps_0000007 118.4 124.0 
Tahmoh_Penikett/wgoAh9ji-Ps_0000008 143.0 147.4 
Tahmoh_Penikett/wgoAh9ji-Ps_0000009 155.6 163.0 
Tahmoh_Penikett/wgoAh9ji-Ps_0000010 179.1 188.7 
Tahmoh_Penikett/wgoAh9ji-Ps_0000011 194.7 204.9 
Tahmoh_Penikett/wgoAh9ji-Ps_0000012 205.4 212.4 
Tahmoh_Penikett/wgoAh9ji-Ps_0000013 218.5 229.5 
Tahmoh_Penikett/wgoAh9ji-Ps_0000014 229.7 234.5 
Tahmoh_Penikett/wgoAh9ji-Ps_0000015 244.9 264.8 
Tahmoh_Penikett/wgoAh9ji-Ps_0000016 265.0 269.0 
Tahmoh_Penikett/wgoAh9ji-Ps_0000017 273.4 280.2 
Tahmoh_Penikett/wgoAh9ji-Ps_0000018 291.0 296.5 
Tahmoh_Penikett/wgoAh9ji-Ps_0000019 298.8 305.1 
Tahmoh_Penikett/wgoAh9ji-Ps_0000020 305.2 315.1 
Tahmoh_Penikett/wgoAh9ji-Ps_0000021 325.2 330.5 
