POI: 			Sheryl_Lee_Ralph 
Youtube ID: 	ltiC9NlMIDw 
Video length: 	1608.6 sec 
Set (V): 		dev 
 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000001 71.4 78.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000002 84.2 96.2 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000003 104.2 111.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000004 114.9 121.0 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000005 123.9 129.9 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000006 136.0 154.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000007 156.2 161.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000008 193.3 197.4 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000009 203.2 213.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000010 215.6 220.2 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000011 229.4 236.9 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000012 240.9 269.4 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000013 278.6 298.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000014 302.7 315.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000015 334.7 341.7 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000016 411.6 416.7 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000017 417.0 430.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000018 426.9 431.4 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000019 436.8 450.1 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000020 450.3 465.7 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000021 469.1 477.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000022 486.2 502.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000023 506.4 512.5 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000024 526.6 545.5 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000025 549.3 557.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000026 602.9 618.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000027 620.0 624.1 
