POI: 			Stefanie_Powers 
Youtube ID: 	57ZLfmWjz0Y 
Video length: 	2534.1 sec 
Set (V): 		dev 
 
Stefanie_Powers/57ZLfmWjz0Y_0000001 773.7 779.8 
Stefanie_Powers/57ZLfmWjz0Y_0000002 870.5 874.6 
Stefanie_Powers/57ZLfmWjz0Y_0000003 902.1 910.5 
Stefanie_Powers/57ZLfmWjz0Y_0000004 920.0 924.0 
Stefanie_Powers/57ZLfmWjz0Y_0000005 1058.3 1063.4 
Stefanie_Powers/57ZLfmWjz0Y_0000006 1068.8 1073.4 
Stefanie_Powers/57ZLfmWjz0Y_0000007 1075.9 1080.6 
Stefanie_Powers/57ZLfmWjz0Y_0000008 1088.0 1092.2 
Stefanie_Powers/57ZLfmWjz0Y_0000009 1117.4 1123.7 
Stefanie_Powers/57ZLfmWjz0Y_0000010 1124.9 1131.2 
Stefanie_Powers/57ZLfmWjz0Y_0000011 1229.5 1235.3 
Stefanie_Powers/57ZLfmWjz0Y_0000012 1241.4 1245.5 
Stefanie_Powers/57ZLfmWjz0Y_0000013 1574.0 1582.4 
Stefanie_Powers/57ZLfmWjz0Y_0000014 1773.4 1779.1 
Stefanie_Powers/57ZLfmWjz0Y_0000015 2329.9 2338.6 
Stefanie_Powers/57ZLfmWjz0Y_0000016 2339.5 2346.4 
