POI: 			Emile_Hirsch 
Youtube ID: 	HYiqXC0B3iY 
Video length: 	810.9 sec 
Set (V): 		test 
 
Emile_Hirsch/HYiqXC0B3iY_0000001 128.1 133.0 
Emile_Hirsch/HYiqXC0B3iY_0000002 133.8 140.4 
Emile_Hirsch/HYiqXC0B3iY_0000003 153.1 158.4 
Emile_Hirsch/HYiqXC0B3iY_0000004 177.0 181.6 
Emile_Hirsch/HYiqXC0B3iY_0000005 190.0 198.6 
Emile_Hirsch/HYiqXC0B3iY_0000006 215.7 225.8 
Emile_Hirsch/HYiqXC0B3iY_0000007 226.4 231.2 
Emile_Hirsch/HYiqXC0B3iY_0000008 240.9 248.8 
Emile_Hirsch/HYiqXC0B3iY_0000009 249.7 256.8 
Emile_Hirsch/HYiqXC0B3iY_0000010 265.3 271.0 
Emile_Hirsch/HYiqXC0B3iY_0000011 283.4 288.0 
Emile_Hirsch/HYiqXC0B3iY_0000012 296.3 317.9 
Emile_Hirsch/HYiqXC0B3iY_0000013 326.6 336.2 
Emile_Hirsch/HYiqXC0B3iY_0000014 336.4 350.7 
Emile_Hirsch/HYiqXC0B3iY_0000015 382.5 402.3 
Emile_Hirsch/HYiqXC0B3iY_0000016 423.4 429.7 
Emile_Hirsch/HYiqXC0B3iY_0000017 430.2 436.3 
Emile_Hirsch/HYiqXC0B3iY_0000018 450.7 454.8 
Emile_Hirsch/HYiqXC0B3iY_0000019 477.2 486.9 
Emile_Hirsch/HYiqXC0B3iY_0000020 487.2 505.6 
Emile_Hirsch/HYiqXC0B3iY_0000021 523.5 531.3 
Emile_Hirsch/HYiqXC0B3iY_0000022 594.3 599.0 
Emile_Hirsch/HYiqXC0B3iY_0000023 599.1 604.1 
Emile_Hirsch/HYiqXC0B3iY_0000024 617.1 622.4 
Emile_Hirsch/HYiqXC0B3iY_0000025 647.5 653.7 
Emile_Hirsch/HYiqXC0B3iY_0000026 724.3 737.2 
Emile_Hirsch/HYiqXC0B3iY_0000027 746.4 755.8 
Emile_Hirsch/HYiqXC0B3iY_0000028 762.8 768.3 
Emile_Hirsch/HYiqXC0B3iY_0000029 775.2 779.7 
Emile_Hirsch/HYiqXC0B3iY_0000030 785.8 800.0 
