POI: 			John_Noble 
Youtube ID: 	ssFfrN2NQxA 
Video length: 	994.7 sec 
Set (V): 		dev 
 
John_Noble/ssFfrN2NQxA_0000001 22.8 29.3 
John_Noble/ssFfrN2NQxA_0000002 31.7 35.6 
John_Noble/ssFfrN2NQxA_0000003 37.1 42.8 
John_Noble/ssFfrN2NQxA_0000004 46.2 52.2 
John_Noble/ssFfrN2NQxA_0000005 53.0 63.4 
John_Noble/ssFfrN2NQxA_0000006 68.7 77.8 
John_Noble/ssFfrN2NQxA_0000007 83.5 109.0 
John_Noble/ssFfrN2NQxA_0000008 110.1 123.3 
John_Noble/ssFfrN2NQxA_0000009 125.6 132.5 
John_Noble/ssFfrN2NQxA_0000010 141.7 158.7 
John_Noble/ssFfrN2NQxA_0000011 164.6 168.7 
John_Noble/ssFfrN2NQxA_0000012 181.3 198.2 
John_Noble/ssFfrN2NQxA_0000013 206.9 217.4 
John_Noble/ssFfrN2NQxA_0000014 243.8 248.9 
John_Noble/ssFfrN2NQxA_0000015 257.4 262.8 
John_Noble/ssFfrN2NQxA_0000016 271.0 277.5 
John_Noble/ssFfrN2NQxA_0000017 305.1 313.6 
John_Noble/ssFfrN2NQxA_0000018 319.6 324.0 
John_Noble/ssFfrN2NQxA_0000019 325.5 329.5 
John_Noble/ssFfrN2NQxA_0000020 342.1 352.0 
John_Noble/ssFfrN2NQxA_0000021 352.5 359.2 
John_Noble/ssFfrN2NQxA_0000022 359.9 364.0 
John_Noble/ssFfrN2NQxA_0000023 385.9 398.0 
John_Noble/ssFfrN2NQxA_0000024 399.2 404.6 
John_Noble/ssFfrN2NQxA_0000025 410.6 419.1 
John_Noble/ssFfrN2NQxA_0000026 419.7 432.0 
John_Noble/ssFfrN2NQxA_0000027 436.2 444.3 
John_Noble/ssFfrN2NQxA_0000028 444.9 449.7 
John_Noble/ssFfrN2NQxA_0000029 460.6 468.2 
John_Noble/ssFfrN2NQxA_0000030 469.2 484.9 
John_Noble/ssFfrN2NQxA_0000031 486.7 494.6 
John_Noble/ssFfrN2NQxA_0000032 504.5 509.5 
John_Noble/ssFfrN2NQxA_0000033 526.3 533.9 
John_Noble/ssFfrN2NQxA_0000034 543.6 551.7 
John_Noble/ssFfrN2NQxA_0000035 558.2 566.2 
John_Noble/ssFfrN2NQxA_0000036 571.7 576.0 
John_Noble/ssFfrN2NQxA_0000037 593.7 603.0 
John_Noble/ssFfrN2NQxA_0000038 605.0 610.0 
John_Noble/ssFfrN2NQxA_0000039 622.3 635.8 
John_Noble/ssFfrN2NQxA_0000040 650.0 661.3 
John_Noble/ssFfrN2NQxA_0000041 662.9 667.5 
John_Noble/ssFfrN2NQxA_0000042 670.1 679.2 
John_Noble/ssFfrN2NQxA_0000043 680.0 685.0 
John_Noble/ssFfrN2NQxA_0000044 686.2 691.4 
John_Noble/ssFfrN2NQxA_0000045 703.1 719.8 
John_Noble/ssFfrN2NQxA_0000046 732.5 747.0 
John_Noble/ssFfrN2NQxA_0000047 767.4 771.8 
John_Noble/ssFfrN2NQxA_0000048 775.0 781.7 
John_Noble/ssFfrN2NQxA_0000049 790.5 794.7 
John_Noble/ssFfrN2NQxA_0000050 814.3 818.7 
John_Noble/ssFfrN2NQxA_0000051 821.6 827.7 
John_Noble/ssFfrN2NQxA_0000052 832.3 837.6 
John_Noble/ssFfrN2NQxA_0000053 861.4 867.2 
John_Noble/ssFfrN2NQxA_0000054 900.9 910.8 
John_Noble/ssFfrN2NQxA_0000055 914.9 922.0 
John_Noble/ssFfrN2NQxA_0000056 933.1 938.6 
John_Noble/ssFfrN2NQxA_0000057 955.2 959.9 
John_Noble/ssFfrN2NQxA_0000058 968.2 974.6 
John_Noble/ssFfrN2NQxA_0000059 976.6 982.8 
John_Noble/ssFfrN2NQxA_0000060 983.4 988.5 
