POI: 			John_Noble 
Youtube ID: 	z-7C6WRL46c 
Video length: 	6335.3 sec 
Set (V): 		dev 
 
John_Noble/z-7C6WRL46c_0000001 59.9 64.7 
John_Noble/z-7C6WRL46c_0000002 70.3 74.7 
John_Noble/z-7C6WRL46c_0000003 78.9 88.4 
John_Noble/z-7C6WRL46c_0000004 116.3 124.8 
John_Noble/z-7C6WRL46c_0000005 146.6 151.8 
John_Noble/z-7C6WRL46c_0000006 154.2 161.6 
John_Noble/z-7C6WRL46c_0000007 162.0 179.7 
John_Noble/z-7C6WRL46c_0000008 180.9 185.6 
John_Noble/z-7C6WRL46c_0000009 185.8 191.6 
John_Noble/z-7C6WRL46c_0000010 194.4 199.6 
John_Noble/z-7C6WRL46c_0000011 207.0 211.5 
John_Noble/z-7C6WRL46c_0000012 214.3 224.0 
John_Noble/z-7C6WRL46c_0000013 242.3 253.8 
John_Noble/z-7C6WRL46c_0000014 263.2 273.4 
John_Noble/z-7C6WRL46c_0000015 268.4 275.7 
John_Noble/z-7C6WRL46c_0000016 509.9 515.2 
John_Noble/z-7C6WRL46c_0000017 538.7 545.1 
John_Noble/z-7C6WRL46c_0000018 574.7 578.9 
John_Noble/z-7C6WRL46c_0000019 584.2 588.4 
John_Noble/z-7C6WRL46c_0000020 597.0 604.9 
John_Noble/z-7C6WRL46c_0000021 804.5 812.1 
John_Noble/z-7C6WRL46c_0000022 914.3 918.5 
John_Noble/z-7C6WRL46c_0000023 971.6 978.9 
John_Noble/z-7C6WRL46c_0000024 987.0 994.2 
John_Noble/z-7C6WRL46c_0000025 998.2 1005.2 
John_Noble/z-7C6WRL46c_0000026 1005.4 1010.6 
John_Noble/z-7C6WRL46c_0000027 1012.0 1021.4 
John_Noble/z-7C6WRL46c_0000028 1031.0 1044.1 
John_Noble/z-7C6WRL46c_0000029 1048.4 1054.9 
John_Noble/z-7C6WRL46c_0000030 1143.8 1149.4 
John_Noble/z-7C6WRL46c_0000031 1156.4 1167.4 
John_Noble/z-7C6WRL46c_0000032 1197.8 1203.3 
John_Noble/z-7C6WRL46c_0000033 1207.3 1212.4 
John_Noble/z-7C6WRL46c_0000034 1213.2 1220.0 
John_Noble/z-7C6WRL46c_0000035 1277.5 1287.2 
John_Noble/z-7C6WRL46c_0000036 1353.1 1358.7 
John_Noble/z-7C6WRL46c_0000037 1369.2 1373.7 
John_Noble/z-7C6WRL46c_0000038 1381.2 1386.6 
John_Noble/z-7C6WRL46c_0000039 1396.4 1402.6 
John_Noble/z-7C6WRL46c_0000040 1402.9 1408.5 
John_Noble/z-7C6WRL46c_0000041 1437.1 1441.9 
John_Noble/z-7C6WRL46c_0000042 1642.6 1646.6 
John_Noble/z-7C6WRL46c_0000043 1649.5 1653.5 
John_Noble/z-7C6WRL46c_0000044 1725.0 1729.4 
John_Noble/z-7C6WRL46c_0000045 2040.7 2044.8 
John_Noble/z-7C6WRL46c_0000046 2127.5 2131.5 
John_Noble/z-7C6WRL46c_0000047 2166.4 2175.4 
John_Noble/z-7C6WRL46c_0000048 2418.8 2423.5 
John_Noble/z-7C6WRL46c_0000049 2875.4 2881.0 
John_Noble/z-7C6WRL46c_0000050 3088.4 3093.1 
John_Noble/z-7C6WRL46c_0000051 3158.7 3163.0 
John_Noble/z-7C6WRL46c_0000052 3386.0 3390.8 
John_Noble/z-7C6WRL46c_0000053 3410.5 3417.4 
John_Noble/z-7C6WRL46c_0000054 3590.0 3595.7 
John_Noble/z-7C6WRL46c_0000055 3630.0 3636.0 
John_Noble/z-7C6WRL46c_0000056 4043.4 4047.4 
John_Noble/z-7C6WRL46c_0000057 4191.4 4196.6 
John_Noble/z-7C6WRL46c_0000058 4212.9 4220.2 
John_Noble/z-7C6WRL46c_0000059 4221.2 4225.8 
John_Noble/z-7C6WRL46c_0000060 4248.0 4253.8 
John_Noble/z-7C6WRL46c_0000061 4268.4 4276.4 
John_Noble/z-7C6WRL46c_0000062 4312.1 4316.3 
John_Noble/z-7C6WRL46c_0000063 4329.9 4337.1 
John_Noble/z-7C6WRL46c_0000064 4344.4 4349.2 
John_Noble/z-7C6WRL46c_0000065 4733.2 4738.1 
John_Noble/z-7C6WRL46c_0000066 4739.4 4746.2 
John_Noble/z-7C6WRL46c_0000067 4747.5 4752.2 
John_Noble/z-7C6WRL46c_0000068 5027.2 5035.6 
John_Noble/z-7C6WRL46c_0000069 5045.8 5058.4 
John_Noble/z-7C6WRL46c_0000070 5071.8 5080.0 
John_Noble/z-7C6WRL46c_0000071 5103.2 5110.1 
John_Noble/z-7C6WRL46c_0000072 5125.7 5129.8 
John_Noble/z-7C6WRL46c_0000073 5130.1 5135.4 
John_Noble/z-7C6WRL46c_0000074 5147.6 5153.2 
John_Noble/z-7C6WRL46c_0000075 5166.9 5177.2 
John_Noble/z-7C6WRL46c_0000076 5178.9 5189.3 
John_Noble/z-7C6WRL46c_0000077 5198.1 5202.4 
John_Noble/z-7C6WRL46c_0000078 5208.3 5219.2 
John_Noble/z-7C6WRL46c_0000079 5221.7 5229.5 
John_Noble/z-7C6WRL46c_0000080 5236.4 5247.9 
John_Noble/z-7C6WRL46c_0000081 5318.5 5323.8 
John_Noble/z-7C6WRL46c_0000082 5341.3 5347.1 
John_Noble/z-7C6WRL46c_0000083 5359.7 5366.2 
John_Noble/z-7C6WRL46c_0000084 5553.7 5562.2 
John_Noble/z-7C6WRL46c_0000085 5579.4 5585.0 
John_Noble/z-7C6WRL46c_0000086 5647.0 5657.8 
John_Noble/z-7C6WRL46c_0000087 5778.3 5783.1 
John_Noble/z-7C6WRL46c_0000088 5795.7 5804.8 
John_Noble/z-7C6WRL46c_0000089 5808.9 5814.2 
John_Noble/z-7C6WRL46c_0000090 5839.1 5844.6 
John_Noble/z-7C6WRL46c_0000091 5858.6 5864.8 
John_Noble/z-7C6WRL46c_0000092 5895.5 5902.1 
John_Noble/z-7C6WRL46c_0000093 5995.4 6000.2 
