POI: 			Judith_Light 
Youtube ID: 	EBRN94RlDAk 
Video length: 	461.7 sec 
Set (V): 		dev 
 
Judith_Light/EBRN94RlDAk_0000001 20.4 27.0 
Judith_Light/EBRN94RlDAk_0000002 32.1 37.0 
Judith_Light/EBRN94RlDAk_0000003 79.8 84.0 
Judith_Light/EBRN94RlDAk_0000004 127.4 132.5 
Judith_Light/EBRN94RlDAk_0000005 133.3 142.9 
Judith_Light/EBRN94RlDAk_0000006 150.4 157.6 
Judith_Light/EBRN94RlDAk_0000007 159.5 165.7 
Judith_Light/EBRN94RlDAk_0000008 243.1 247.6 
Judith_Light/EBRN94RlDAk_0000009 247.8 252.3 
Judith_Light/EBRN94RlDAk_0000010 254.4 259.6 
Judith_Light/EBRN94RlDAk_0000011 268.2 277.0 
Judith_Light/EBRN94RlDAk_0000012 353.2 366.6 
Judith_Light/EBRN94RlDAk_0000013 381.7 386.3 
Judith_Light/EBRN94RlDAk_0000014 359.3 368.6 
Judith_Light/EBRN94RlDAk_0000015 378.3 386.2 
Judith_Light/EBRN94RlDAk_0000016 417.8 422.0 
Judith_Light/EBRN94RlDAk_0000017 424.6 428.6 
